transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,season,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
79,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,141,0.5,2022-23,0.00,0.0,0,44,8727,607,0,true,0,0,0,0,Arsenal,371,0.00,0.00,62,38,Matthew Smith,0.0,MID,0.0,5,0
4,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,33,0.0,2022-23,0.00,0.0,0,45,1228,630,0,true,0,0,0,0,Arsenal,371,0.00,0.00,29,38,Ethan Nwaneri,0.0,MID,0.0,5,0
77,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,158,0.5,2022-23,0.00,0.0,0,40,8585,631,0,true,0,0,0,0,Arsenal,371,0.00,0.00,81,38,Lino Sousa,0.0,DEF,0.0,5,0
43,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,72,0.5,2022-23,0.00,0.0,0,39,1976,655,0,true,0,0,0,0,Arsenal,371,0.00,0.00,29,38,Karl Hein,0.0,GK,0.0,5,0
161,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,180,0.5,2022-23,0.00,0.0,0,45,583,668,0,true,0,0,0,0,Arsenal,371,0.00,0.00,19,38,Amario Cozier-Duberry,0.0,MID,0.0,5,0
-2,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,45,571,685,0,true,0,0,0,0,Arsenal,371,0.00,0.00,2,38,Nathan Butler-Oyedeji,0.0,FWD,0.0,5,0
7132,Wolves,0,1,13,1,0,2023-05-28T15:30:00Z,0,0.32,0,45.0,0,0,8576,13.5,2022-23,0.00,13.8,1,40,32204,710,1,true,36,79,0,0,Arsenal,371,0.10,0.10,1444,38,Jakub Kiwior,17.0,DEF,7.6,5,0
42,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,75,0.5,2022-23,0.00,0.0,0,40,1118,751,0,true,0,0,0,0,Arsenal,371,0.00,0.00,33,38,Reuell Walters,0.0,DEF,0.0,5,0
40,Wolves,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,44,0.5,2022-23,0.00,0.0,0,45,54,767,0,true,0,0,0,0,Arsenal,371,0.00,0.00,4,38,Mauro Bandeira,0.0,MID,0.0,5,0
-349,Brighton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,1,0.0,0,0,149,0.0,2022-23,0.00,0.0,0,66,328719,29,0,true,0,0,0,0,Aston Villa,372,0.00,0.00,498,38,Philippe Coutinho,0.0,MID,0.0,2,0
