name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Aleksandar Mitrović,FWD,Fulham,0.5,0,0,0,0,0.0,210,0.0,0.0,0.0,0.0,244,0,0,0.0,0.0,2023-02-24T20:00:00Z,0,0,0,0,0,25,0,2103398,0,1,1,0.0,0,-410083,11791,421874,68,True,0,Wolves,Mitrović
Yerson Mosquera Valdelamar,DEF,Wolves,0.0,0,0,0,0,0.0,494,0.0,0.0,0.0,0.0,244,0,0,0.0,0.0,2023-02-24T20:00:00Z,0,0,0,0,0,25,0,108664,0,1,1,0.0,0,-4072,0,4072,39,False,0,Fulham,Mosquera
Yerson Mosquera Valdelamar,DEF,Wolves,0.0,0,0,0,0,0.0,494,0.0,0.0,0.0,0.0,67,0,0,0.0,0.0,2023-03-01T20:00:00Z,0,0,0,0,0,25,0,108664,0,0,2,0.0,0,-4072,0,4072,39,False,0,Liverpool,Mosquera
Roméo Lavia,MID,Southampton,1.0,0,0,14,0,1.2,321,0.0,0.0,0.0,0.86,245,1,0,0.9,7.6,2023-02-25T15:00:00Z,90,0,0,0,0,25,0,20175,1,0,1,0.0,1,336,746,410,45,False,1,Leeds,Lavia
Ellis Simms,FWD,Everton,1.1,0,0,2,0,0.2,686,0.0,0.16,0.16,0.3,243,1,0,0.3,0.0,2023-02-25T15:00:00Z,14,0,0,0,0,25,0,18732,0,2,0,4.0,1,6955,9046,2091,45,True,0,Aston Villa,Simms
Ellis Simms,FWD,Everton,1.1,0,0,0,0,0.0,686,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2023-03-01T19:45:00Z,0,0,0,0,0,25,0,18732,0,0,4,0.0,0,6955,9046,2091,45,False,0,Arsenal,Simms
Emmanuel Dennis,FWD,Nott'm Forest,0.2,0,0,0,0,0.0,585,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,13225,0,0,4,0.0,0,-39,462,501,56,False,0,West Ham,Dennis
Gustavo Henrique Furtado Scarpa,MID,Nott'm Forest,0.2,0,0,0,0,0.0,681,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,961,0,0,4,0.0,0,-100,43,143,49,False,0,West Ham,Scarpa
Will Hughes,MID,Crystal Palace,0.0,0,0,0,0,0.0,163,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,0,0,0,0,25,0,3057,0,0,0,0.0,0,-4,49,53,48,True,0,Liverpool,Hughes
Joe Ayodele-Aribo,MID,Southampton,-0.3,0,0,0,0,0.0,512,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,0,0,0,0,25,0,30949,0,0,1,0.0,0,-266,253,519,51,False,0,Leeds,Aribo
