name,transfers_balance,opponent_team,bonus,own_goals,clean_sheets,goals_conceded,total_points,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,bps,was_home,minutes,penalties_missed,yellow_cards,team,expected_goal_involvements,expected_goals,fixture,transfers_out,round,position,threat,ict_index,penalties_saved,team_h_score
Leander Dendoncker,9,Newcastle,0,0,1,0,3,2023-04-15T11:30:00Z,0,0.54,0,15.6,0,0,55,0.5,0.0,1.3,1,47,7147,479,0,16,True,90,0,0,Aston Villa,0.0,0.03,301,46,31,MID,1,1.8,0,3
Ludwig Augustinsson,-15,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,43,4395,525,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,15,31,DEF,0,0.0,0,3
Kaine Kesler Hayden,-16,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,40,4911,537,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,16,31,DEF,0,0.0,0,3
Ashley Young,4902,Newcastle,0,0,1,0,6,2023-04-15T11:30:00Z,0,0.54,0,6.0,0,0,6873,3.9,0.01,0.9,1,43,75980,538,0,21,True,90,0,0,Aston Villa,0.0,0.05,301,1971,31,DEF,9,1.6,0,3
Lamare Bogarde,-46,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,40,4278,638,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,46,31,DEF,0,0.0,0,3
Filip Marschall,-9,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,40,606,670,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,9,31,GK,0,0.0,0,3
Kadan Young,48,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,99,-0.5,0.0,0.0,0,45,592,672,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,51,31,MID,0,0.0,0,3
Alexandre Moreno Lopera,13830,Newcastle,1,0,1,0,10,2023-04-15T11:30:00Z,0,0.54,0,27.2,0,1,19945,5.3,0.71,34.5,1,44,125839,694,0,32,True,90,0,0,Aston Villa,0.0,0.0,301,6115,31,DEF,10,7.2,0,3
Viljami Sinisalo,68,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,114,-0.5,0.0,0.0,0,40,1179,707,0,0,True,0,0,0,Aston Villa,0.0,0.0,301,46,31,GK,0,0.0,0,3
Jhon Durán,86,Newcastle,0,0,0,0,0,2023-04-15T11:30:00Z,0,0.0,0,0.0,0,0,314,-0.1,0.0,0.0,0,55,1935,711,0,-2,True,1,0,1,Aston Villa,0.0,0.0,301,228,31,FWD,0,0.0,0,3
