transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
7594,Fulham,0,2,8,1,0,2023-04-25T18:45:00Z,0,0.10,0,13.6,0,0,11610,4.8,0.00,0.7,1,44,98588,44,0,true,28,90,0,0,Aston Villa,321,0.22,0.22,4016,33,Ezri Konsa Ngoyo,8.0,DEF,2.2,1,0
-11867,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,93,0.0,0.00,0.0,0,43,313900,45,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,11960,33,Leon Bailey,0.0,MID,0.0,1,0
6100,Fulham,0,0,3,1,0,2023-04-25T18:45:00Z,0,0.10,0,13.4,0,0,9786,4.2,0.05,16.1,1,48,85162,46,0,true,15,90,0,0,Aston Villa,321,0.05,0.10,3686,33,Douglas Luiz Soares de Paulo,1.0,MID,3.1,1,0
-5697,Fulham,0,0,3,1,0,2023-04-25T18:45:00Z,0,0.10,0,12.6,0,0,12670,5.3,0.04,37.1,1,53,182960,47,0,true,7,76,0,0,Aston Villa,321,0.04,0.08,18367,33,Jacob Ramsey,1.0,MID,5.1,1,0
-2,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,45,1836,49,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,2,33,Tim Iroegbunam,0.0,MID,0.0,1,0
306,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,1069,0.0,0.00,0.0,0,47,26274,50,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,763,33,Diego Carlos Santos Silva,0.0,DEF,0.0,1,0
-6,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,48,3311,51,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,6,33,Anwar El Ghazi,0.0,MID,0.0,1,0
-4,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,54,3917,52,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,4,33,Keinan Davis,0.0,FWD,0.0,1,0
-25,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,8,0.0,0.00,0.0,0,48,9844,53,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,33,33,Boubacar Kamara,0.0,MID,0.0,1,0
-962,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,42,200329,54,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,962,33,Cameron Archer,0.0,FWD,0.0,1,0
0,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,45,216,55,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,0,33,Jaden Philogene-Bidace,0.0,MID,0.0,1,0
-313,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,39,67414,56,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,313,33,Frédéric Guilbert,0.0,DEF,0.0,1,0
-9,Fulham,0,0,3,1,0,2023-04-25T18:45:00Z,0,0.10,0,6.0,0,0,46,1.7,0.07,2.9,1,47,7283,479,0,true,13,90,0,0,Aston Villa,321,0.00,0.07,55,33,Leander Dendoncker,2.0,MID,1.1,1,0
-6,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,43,4378,525,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,6,33,Ludwig Augustinsson,0.0,DEF,0.0,1,0
-5,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,40,4888,537,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,5,33,Kaine Kesler Hayden,0.0,DEF,0.0,1,0
3402,Fulham,0,0,5,1,0,2023-04-25T18:45:00Z,0,0.10,0,8.0,0,0,6837,4.7,0.02,16.0,1,43,97066,538,0,true,17,84,0,1,Aston Villa,321,0.02,0.04,3435,33,Ashley Young,4.0,DEF,2.8,1,0
-23,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,40,4211,638,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,23,33,Lamare Bogarde,0.0,DEF,0.0,1,0
-4,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,0,0.0,0.00,0.0,0,40,590,670,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,4,33,Filip Marschall,0.0,GK,0.0,1,0
18,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,62,0.0,0.00,0.0,0,45,634,672,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,44,33,Kadan Young,0.0,MID,0.0,1,0
37690,Fulham,0,1,7,1,0,2023-04-25T18:45:00Z,0,0.10,0,13.8,0,0,53638,5.3,0.07,24.1,1,45,341191,694,0,true,22,76,0,0,Aston Villa,321,0.02,0.09,15948,33,Alexandre Moreno Lopera,5.0,DEF,4.3,1,0
81,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,154,0.0,0.00,0.0,0,40,1336,707,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,73,33,Viljami Sinisalo,0.0,GK,0.0,1,0
4,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,179,0.2,0.00,0.0,0,55,2000,711,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,175,33,Jhon Durán,0.0,FWD,0.0,1,0
30,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,119,0.0,0.00,0.0,0,40,1845,744,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,89,33,Sil Swinkels,0.0,DEF,0.0,1,0
22,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,44,0.0,0.00,0.0,0,40,713,745,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,22,33,Oliwier Zych,0.0,GK,0.0,1,0
13,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,39,0.0,0.00,0.0,0,40,213,753,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,26,33,James Wright,0.0,GK,0.0,1,0
28,Fulham,0,0,0,0,0,2023-04-25T18:45:00Z,0,0.00,0,0.0,0,0,72,0.0,0.00,0.0,0,40,422,754,0,true,0,0,0,0,Aston Villa,321,0.00,0.00,44,33,Sebastian Revan,0.0,DEF,0.0,1,0
