name,transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,threat,position,ict_index,team_h_score,penalties_saved,season
Gabriel Jesus,283466,Southampton,0,0,2,0,3,2023-04-21T19:00:00Z,0,1.42,3,6.6,0,0,295624,8.0,0.09,20.5,1,82,3747685,28,0,True,-6,90,0,0,Arsenal,311,1.36,1.45,12158,32,64.0,FWD,9.1,3,0,2022-23
Leandro Trossard,-33521,Southampton,0,0,1,0,1,2023-04-21T19:00:00Z,0,0.64,3,1.8,0,0,10457,3.0,0.12,15.3,0,67,914439,111,0,True,4,33,0,0,Arsenal,311,0.06,0.18,43978,32,9.0,MID,2.6,3,0,2022-23
Jorginho,-839,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,372,1.5,0.0,0.0,0,57,218143,130,0,True,0,0,0,0,Arsenal,311,0.0,0.0,1211,32,0.0,MID,0.0,3,0,2022-23
Oleksandr Zinchenko,-189826,Southampton,0,0,0,0,3,2023-04-21T19:00:00Z,0,1.42,3,7.0,0,0,8503,0.9,0.09,11.9,1,52,1345978,313,0,True,7,71,0,1,Arsenal,311,0.03,0.12,198329,32,5.0,DEF,2.4,3,0,2022-23
Matthew Smith,-9,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,76,1.0,0.0,0.0,0,44,8297,607,0,True,0,0,0,0,Arsenal,311,0.0,0.0,85,32,0.0,MID,0.0,3,0,2022-23
Ethan Nwaneri,0,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,24,1.0,0.0,0.0,0,45,1061,630,0,True,0,0,0,0,Arsenal,311,0.0,0.0,24,32,0.0,MID,0.0,3,0,2022-23
Lino Sousa,-31,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,73,1.0,0.0,0.0,0,40,7818,631,0,True,0,0,0,0,Arsenal,311,0.0,0.0,104,32,0.0,DEF,0.0,3,0,2022-23
Karl Hein,-16,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,21,1.0,0.0,0.0,0,39,1779,655,0,True,0,0,0,0,Arsenal,311,0.0,0.0,37,32,0.0,GK,0.0,3,0,2022-23
Amario Cozier-Duberry,3,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,10,1.0,0.0,0.0,0,45,303,668,0,True,0,0,0,0,Arsenal,311,0.0,0.0,7,32,0.0,MID,0.0,3,0,2022-23
Nathan Butler-Oyedeji,-4,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,45,596,685,0,True,0,0,0,0,Arsenal,311,0.0,0.0,4,32,0.0,FWD,0.0,3,0,2022-23
Jakub Kiwior,-20,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,51,1.2,0.0,0.0,0,40,1464,710,0,True,0,0,0,0,Arsenal,311,0.0,0.0,71,32,0.0,DEF,0.0,3,0,2022-23
Reuell Walters,20,Southampton,0,0,0,0,0,2023-04-21T19:00:00Z,0,0.0,3,0.0,0,0,45,1.0,0.0,0.0,0,40,462,751,0,True,0,0,0,0,Arsenal,311,0.0,0.0,25,32,0.0,DEF,0.0,3,0,2022-23
Philippe Coutinho,-838,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,78,0.0,0.0,0.0,0,66,331617,29,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,916,32,0.0,MID,0.0,1,0,2022-23
Emiliano Martínez,78930,Brentford,0,0,1,0,0,2023-04-22T14:00:00Z,0,0.25,1,14.6,2,0,89401,6.0,0.0,0.0,1,50,870077,31,0,False,10,45,0,0,Aston Villa,313,0.0,0.0,10471,32,0.0,GK,1.5,1,0,2022-23
Calum Chambers,147,Brentford,0,0,1,0,0,2023-04-22T14:00:00Z,0,0.56,1,7.6,0,0,287,0.6,0.16,15.1,0,42,18213,32,0,False,9,24,0,0,Aston Villa,313,0.0,0.16,140,32,0.0,DEF,2.3,1,0,2022-23
Lucas Digne,-93,Brentford,0,0,1,0,0,2023-04-22T14:00:00Z,0,0.56,1,11.2,0,0,3542,0.4,0.45,33.4,0,46,143641,33,0,False,8,24,0,0,Aston Villa,313,0.0,0.45,3635,32,0.0,DEF,4.5,1,0,2022-23
Bertrand Traoré,-586,Brentford,0,0,1,0,0,2023-04-22T14:00:00Z,0,0.56,1,2.0,0,0,612,3.2,0.01,2.0,0,49,9055,34,0,False,1,24,0,0,Aston Villa,313,0.0,0.01,1198,32,2.0,MID,0.6,1,0,2022-23
Robin Olsen,-1506,Brentford,0,0,1,0,1,2023-04-22T14:00:00Z,0,2.5,1,13.4,2,0,293,0.2,0.0,0.0,0,39,164731,35,0,False,8,45,0,0,Aston Villa,313,0.0,0.0,1799,32,0.0,GK,1.3,1,0,2022-23
Morgan Sanson,-87,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,43,22048,36,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,87,32,0.0,MID,0.0,1,0,2022-23
John McGinn,2327,Brentford,0,0,2,0,1,2023-04-22T14:00:00Z,0,2.75,1,6.2,0,0,3905,3.6,0.01,7.3,1,51,69611,37,0,False,5,90,0,0,Aston Villa,313,0.07,0.08,1578,32,2.0,MID,1.6,1,0,2022-23
Kortney Hause,-3,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,44,1021,38,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,3,32,0.0,DEF,0.0,1,0,2022-23
Tyrone Mings,245671,Brentford,0,0,2,0,1,2023-04-22T14:00:00Z,0,2.75,1,18.0,0,0,260149,4.8,0.03,1.6,1,46,1413868,39,0,False,14,90,0,0,Aston Villa,313,0.02,0.05,14478,32,1.0,DEF,2.1,1,0,2022-23
Ollie Watkins,493587,Brentford,0,0,2,0,1,2023-04-22T14:00:00Z,0,2.75,1,10.0,0,0,503699,8.4,0.01,15.1,1,77,2800108,40,0,False,2,90,0,0,Aston Villa,313,0.36,0.37,10112,32,12.0,FWD,3.7,1,0,2022-23
Marvelous Nakamba,-65,Brentford,0,0,0,0,0,2023-04-22T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,43,12859,41,0,False,0,0,0,0,Aston Villa,313,0.0,0.0,65,32,0.0,MID,0.0,1,0,2022-23
