name,transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,threat,position,ict_index,team_h_score,penalties_saved,web_name
Marcus Oliveira Alencar,-18,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,46,7683,27,0,False,0,0,0,0,Arsenal,296,0.0,0.0,18,30,0.0,MID,0.0,2,0,Marquinhos
Gabriel Fernando de Jesus,164000,Liverpool,0,1,7,0,1,2023-04-09T15:30:00Z,0,2.15,2,37.0,0,0,176324,6.7,0.01,7.2,1,80,3028101,28,1,False,27,79,0,0,Arsenal,296,0.95,0.96,12324,30,24.0,FWD,6.8,2,0,Jesus
Leandro Trossard,32985,Liverpool,0,0,1,0,1,2023-04-09T15:30:00Z,0,1.82,2,1.0,0,0,58389,3.7,0.0,0.0,0,67,971750,111,0,False,3,10,0,0,Arsenal,296,0.0,0.0,25404,30,0.0,MID,0.1,2,0,Trossard
Jorge Luiz Frello Filho,-1384,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,397,0.7,0.0,0.0,0,57,219868,130,0,False,0,0,0,0,Arsenal,296,0.0,0.0,1781,30,0.0,MID,0.0,2,0,Jorginho
Oleksandr Zinchenko,-10104,Liverpool,0,0,1,0,2,2023-04-09T15:30:00Z,0,2.79,2,20.8,0,0,40258,1.7,0.04,3.8,1,52,1592505,313,0,False,16,87,0,0,Arsenal,296,0.07,0.11,50362,30,9.0,DEF,3.4,2,0,Zinchenko
Matthew Smith,-39,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,39,0.0,0.0,0.0,0,44,8224,607,0,False,0,0,0,0,Arsenal,296,0.0,0.0,78,30,0.0,MID,0.0,2,0,Smith
Ethan Nwaneri,-5,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,23,0.0,0.0,0.0,0,45,1029,630,0,False,0,0,0,0,Arsenal,296,0.0,0.0,28,30,0.0,MID,0.0,2,0,Nwaneri
Lino Sousa,-25,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,75,0.0,0.0,0.0,0,40,7708,631,0,False,0,0,0,0,Arsenal,296,0.0,0.0,100,30,0.0,DEF,0.0,2,0,Sousa
Karl Hein,-30,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,24,0.0,0.0,0.0,0,39,1783,655,0,False,0,0,0,0,Arsenal,296,0.0,0.0,54,30,0.0,GK,0.0,2,0,Hein
Amario Cozier-Duberry,2,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,10,0.0,0.0,0.0,0,45,267,668,0,False,0,0,0,0,Arsenal,296,0.0,0.0,8,30,0.0,MID,0.0,2,0,Cozier-Duberry
Nathan Butler-Oyedeji,-9,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,45,605,685,0,False,0,0,0,0,Arsenal,296,0.0,0.0,9,30,0.0,FWD,0.0,2,0,Butler-Oyedeji
Jakub Kiwior,-10,Liverpool,0,0,1,0,1,2023-04-09T15:30:00Z,0,1.82,2,0.0,0,0,53,0.7,0.0,0.0,0,40,1300,710,0,False,3,10,0,0,Arsenal,296,0.0,0.0,63,30,0.0,DEF,0.0,2,0,Kiwior
Reuell Walters,14,Liverpool,0,0,0,0,0,2023-04-09T15:30:00Z,0,0.0,2,0.0,0,0,39,0.0,0.0,0.0,0,40,271,751,0,False,0,0,0,0,Arsenal,296,0.0,0.0,25,30,0.0,DEF,0.0,2,0,Walters
Philippe Coutinho Correia,-1207,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,75,0.0,0.0,0.0,0,66,333614,29,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,1282,30,0.0,MID,0.0,2,0,Coutinho
Emiliano Martínez Romero,114104,Nott'm Forest,0,3,9,1,0,2023-04-08T14:00:00Z,0,0.25,0,19.2,2,0,119102,7.5,0.0,0.0,1,49,706781,31,0,True,29,90,0,0,Aston Villa,291,0.0,0.0,4998,30,0.0,GK,1.9,2,0,Martínez
Calum Chambers,8,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,158,0.5,0.0,0.0,0,42,17899,32,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,150,30,0.0,DEF,0.0,2,0,Chambers
Lucas Digne,-319,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,3710,0.2,0.0,0.0,0,46,145278,33,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,4029,30,0.0,DEF,0.0,2,0,Digne
Bertrand Traoré,198,Nott'm Forest,0,0,8,1,0,2023-04-08T14:00:00Z,0,0.22,0,31.2,0,0,244,4.0,0.0,1.7,0,49,6194,34,1,True,24,62,0,0,Aston Villa,291,0.44,0.44,46,30,28.0,MID,6.1,2,0,Traoré
Robin Olsen,-1277,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,288,0.0,0.0,0.0,0,39,167071,35,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,1565,30,0.0,GK,0.0,2,0,Olsen
Morgan Sanson,-124,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,43,22258,36,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,124,30,0.0,MID,0.0,2,0,Sanson
John McGinn,4341,Nott'm Forest,0,0,3,1,0,2023-04-08T14:00:00Z,0,0.25,0,7.2,0,0,5477,3.8,0.01,12.8,1,51,66989,37,0,True,7,90,0,0,Aston Villa,291,0.0,0.01,1136,30,4.0,MID,2.4,2,0,McGinn
Kortney Hause,-3,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,44,1025,38,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,3,30,0.0,DEF,0.0,2,0,Hause
Tyrone Mings,301836,Nott'm Forest,0,0,6,1,0,2023-04-08T14:00:00Z,0,0.25,0,12.0,0,0,307970,7.0,0.02,0.2,1,44,976892,39,0,True,24,90,0,0,Aston Villa,291,0.0,0.02,6134,30,0.0,DEF,1.2,2,0,Mings
Ollie Watkins,382992,Nott'm Forest,0,2,7,1,0,2023-04-08T14:00:00Z,0,0.25,0,38.8,0,0,407797,7.2,0.06,5.3,1,76,2222772,40,1,True,25,90,0,1,Aston Villa,291,0.69,0.75,24805,30,66.0,FWD,11.0,2,0,Watkins
Marvelous Nakamba,-77,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,43,12989,41,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,77,30,0.0,MID,0.0,2,0,Nakamba
Emiliano Buendía Stati,18445,Nott'm Forest,0,0,3,1,0,2023-04-08T14:00:00Z,0,0.25,0,6.8,0,0,23891,5.0,0.01,1.3,1,57,116604,42,0,True,9,74,0,0,Aston Villa,291,0.23,0.24,5446,30,6.0,MID,1.4,2,0,Buendía
Matty Cash,-37214,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,115,0.0,0.0,0.0,0,46,406184,43,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,37329,30,0.0,DEF,0.0,2,0,Cash
Ezri Konsa Ngoyo,12686,Nott'm Forest,0,0,5,1,0,2023-04-08T14:00:00Z,0,0.25,0,7.8,0,0,14251,4.8,0.0,0.3,1,44,66551,44,0,True,21,90,0,1,Aston Villa,291,0.0,0.0,1565,30,0.0,DEF,0.8,2,0,Konsa
Leon Bailey,-5979,Nott'm Forest,0,0,1,0,0,2023-04-08T14:00:00Z,0,0.03,0,1.0,0,0,6337,2.5,0.54,10.8,1,44,378907,45,0,True,3,27,0,0,Aston Villa,291,0.0,0.54,12316,30,2.0,MID,1.4,2,0,Bailey
Douglas Luiz Soares de Paulo,10293,Nott'm Forest,0,0,3,1,0,2023-04-08T14:00:00Z,0,0.25,0,20.0,0,0,12140,5.5,0.02,3.0,1,48,66924,46,0,True,20,90,0,0,Aston Villa,291,0.0,0.02,1847,30,0.0,MID,2.3,2,0,Douglas Luiz
Jacob Ramsey,7279,Nott'm Forest,0,0,6,1,0,2023-04-08T14:00:00Z,0,0.25,0,30.2,0,1,8447,5.8,0.14,22.5,1,52,82162,47,0,True,16,90,0,0,Aston Villa,291,0.0,0.14,1168,30,6.0,MID,5.9,2,0,Ramsey
Tim Iroegbunam,-3,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,45,1842,49,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,3,30,0.0,MID,0.0,2,0,Iroegbunam
Diego Carlos Santos Silva,603,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,1062,0.0,0.0,0.0,0,47,23764,50,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,459,30,0.0,DEF,0.0,2,0,Diego Carlos
Anwar El Ghazi,-7,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,48,3326,51,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,7,30,0.0,MID,0.0,2,0,El Ghazi
Keinan Davis,-5,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,54,3935,52,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,5,30,0.0,FWD,0.0,2,0,Davis
Boubacar Kamara,-51,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,28,0.0,0.0,0.0,0,48,9986,53,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,79,30,0.0,MID,0.0,2,0,Kamara
Cameron Archer,-1898,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,42,204334,54,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,1898,30,0.0,FWD,0.0,2,0,Archer
Jaden Philogene-Bidace,0,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,45,217,55,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,0,30,0.0,MID,0.0,2,0,Philogene-Bidace
Frédéric Guilbert,-513,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,39,68684,56,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,513,30,0.0,DEF,0.0,2,0,Guilbert
Leander Dendoncker,8,Nott'm Forest,0,0,1,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,39,0.5,0.0,0.1,0,47,7128,479,0,True,3,15,0,0,Aston Villa,291,0.0,0.0,31,30,0.0,MID,0.0,2,0,Dendoncker
Ludwig Augustinsson,-16,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,43,4412,525,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,16,30,0.0,DEF,0.0,2,0,Augustinsson
Kaine Kesler Hayden,-8,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,40,4927,537,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,8,30,0.0,DEF,0.0,2,0,Kesler Hayden
Ashley Young,4400,Nott'm Forest,0,2,8,1,0,2023-04-08T14:00:00Z,0,0.25,0,16.2,0,0,5352,4.0,0.04,3.1,1,43,70808,538,0,True,25,90,0,0,Aston Villa,291,0.0,0.04,952,30,2.0,DEF,2.1,2,0,Young
Lamare Bogarde,-49,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,40,4322,638,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,49,30,0.0,DEF,0.0,2,0,Bogarde
Filip Marschall,-9,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,40,615,670,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,9,30,0.0,GK,0.0,2,0,Marschall
Kadan Young,47,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,76,0.0,0.0,0.0,0,45,524,672,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,29,30,0.0,MID,0.0,2,0,Kadan Young
Alexandre Moreno Lopera,58919,Nott'm Forest,0,0,5,1,0,2023-04-08T14:00:00Z,0,0.25,0,22.6,0,0,60773,4.8,0.22,29.9,1,44,111693,694,0,True,24,90,0,1,Aston Villa,291,0.0,0.22,1854,30,6.0,DEF,5.9,2,0,Álex Moreno
Viljami Sinisalo,28,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,90,0.0,0.0,0.0,0,40,1069,707,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,62,30,0.0,GK,0.0,2,0,Sinisalo
Jhon Durán,-56,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,207,0.5,0.0,0.0,0,55,1817,711,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,263,30,0.0,FWD,0.0,2,0,Durán
Sil Swinkels,38,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,136,0.0,0.0,0.0,0,40,1517,744,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,98,30,0.0,DEF,0.0,2,0,Swinkels
Oliwier Zych,-4,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,35,0.0,0.0,0.0,0,40,595,745,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,39,30,0.0,GK,0.0,2,0,Zych
James Wright,32,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,37,0.0,0.0,0.0,0,40,58,753,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,5,30,0.0,GK,0.0,2,0,Wright
Sebastian Revan,49,Nott'm Forest,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,0,0.0,0,0,56,0.0,0.0,0.0,0,40,88,754,0,True,0,0,0,0,Aston Villa,291,0.0,0.0,7,30,0.0,DEF,0.0,2,0,Revan
Adam Smith,-2718,Leicester,0,0,5,1,0,2023-04-08T14:00:00Z,0,0.68,1,12.6,0,0,366,2.0,0.02,5.5,1,43,21186,57,0,False,20,90,0,1,Bournemouth,295,0.04,0.06,3084,30,2.0,DEF,2.0,0,0,Smith
Junior Stanislas,-12,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,9,0.0,0.0,0.0,0,48,2196,58,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,21,30,0.0,MID,0.0,0,0,Stanislas
Ryan Fredericks,-116,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,4,0.0,0.0,0.0,0,44,2784,59,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,120,30,0.0,DEF,0.0,0,0,Fredericks
David Brooks,-29,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,42,0.0,0.0,0.0,0,53,1397,60,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,71,30,0.0,MID,0.0,0,0,Brooks
Jamal Lowe,-7,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,52,2645,61,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,7,30,0.0,MID,0.0,0,0,Lowe
Kieffer Moore,-3282,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,590,-0.3,0.0,0.0,0,50,88087,62,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,3872,30,0.0,FWD,0.0,0,0,Moore
Emiliano Marcondes,-3,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,47,1700,63,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,3,30,0.0,MID,0.0,0,0,Marcondes
Jefferson Lerma Solís,-271,Leicester,0,0,3,1,0,2023-04-08T14:00:00Z,0,0.68,1,3.6,0,0,171,1.3,0.03,2.8,1,47,43731,64,0,False,10,90,0,0,Bournemouth,295,0.0,0.03,442,30,0.0,MID,0.6,0,0,Lerma
Jack Stacey,-23,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,9,-0.5,0.0,0.0,0,43,4641,65,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,32,30,0.0,DEF,0.0,0,0,Stacey
Dominic Solanke,-7233,Leicester,0,0,2,1,0,2023-04-08T14:00:00Z,0,0.56,1,8.6,0,0,11103,3.3,0.01,3.4,1,55,236778,66,0,False,0,87,0,0,Bournemouth,295,0.94,0.95,18336,30,102.0,FWD,11.4,0,0,Solanke
Lewis Cook,-46,Leicester,0,0,1,0,0,2023-04-08T14:00:00Z,0,0.41,1,7.0,0,0,24,-0.3,0.0,20.8,0,49,6154,67,0,False,6,31,0,0,Bournemouth,295,0.0,0.0,70,30,2.0,MID,3.0,0,0,Cook
Ben Pearson,-65,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,44,14594,68,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,65,30,0.0,MID,0.0,0,0,Pearson
Ryan Christie,10,Leicester,0,0,3,1,0,2023-04-08T14:00:00Z,0,0.68,1,6.0,0,0,70,1.5,0.01,18.8,1,53,5528,69,0,False,4,90,0,0,Bournemouth,295,0.07,0.08,60,30,21.0,MID,4.6,0,0,Christie
Philip Billing,-27670,Leicester,0,3,11,1,0,2023-04-08T14:00:00Z,0,0.68,1,49.4,0,0,3132,3.5,0.23,31.3,1,52,141887,70,1,False,37,90,0,0,Bournemouth,295,0.49,0.72,30802,30,26.0,MID,10.7,0,0,Billing
Chris Mepham,-120,Leicester,0,2,8,1,0,2023-04-08T14:00:00Z,0,0.68,1,31.2,0,0,22,1.5,0.05,11.0,1,43,11174,71,0,False,32,90,0,0,Bournemouth,295,0.24,0.29,142,30,35.0,DEF,7.7,0,0,Mepham
Mark Travers,-456,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,247,-0.5,0.0,0.0,0,42,41127,72,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,703,30,0.0,GK,0.0,0,0,Travers
Lloyd Kelly,-855,Leicester,0,0,5,1,0,2023-04-08T14:00:00Z,0,0.68,1,7.6,0,0,110,1.7,0.01,2.3,1,43,54240,73,0,False,20,90,0,1,Bournemouth,295,0.05,0.06,965,30,5.0,DEF,1.5,0,0,Kelly
Siriki Dembélé,-33,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,47,7333,74,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,33,30,0.0,MID,0.0,0,0,Dembélé
Jaidon Anthony,-333,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,44,0.0,0.0,0.0,0,52,8677,75,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,377,30,0.0,MID,0.0,0,0,Anthony
Jordan Zemura,-418,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,54,-0.5,0.0,0.0,0,43,14471,76,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,472,30,0.0,DEF,0.0,0,0,Zemura
Will Dennis,-526,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,39,44037,77,0,False,0,0,0,0,Bournemouth,295,0.0,0.0,526,30,0.0,GK,0.0,0,0,Dennis
Jack Stephens,-833,Leicester,0,0,6,1,0,2023-04-08T14:00:00Z,0,0.68,1,17.8,0,0,42,1.7,0.01,3.8,1,43,5879,404,0,False,26,90,0,0,Bournemouth,295,0.29,0.3,875,30,37.0,DEF,5.9,0,0,Stephens
Joe Rothwell,-38,Leicester,0,0,0,0,0,2023-04-08T14:00:00Z,0,0.28,1,7.6,0,0,8,0.3,0.41,29.2,1,49,824,505,0,False,13,59,0,1,Bournemouth,295,0.09,0.5,46,30,7.0,MID,4.4,0,0,Rothwell
