name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,season
Alisson,GK,Liverpool,7.6,0,3,31,1,0,281,0,0,0,0.69,276,0,0,3,30.2,2023-05-03T19:00:00Z,90,Fulham,0,0,0,0,34,3,1746421,1,0,1,0,10,15295,46027,30732,54,TRUE,0,2022-23
Che Adams,FWD,Southampton,-0.6,0,0,3,0,1.3,411,0.01,0.01,0,1.67,340,2,0,0.5,4,2023-04-30T13:00:00Z,13,Newcastle,0,0,0,0,34,0,95082,0,1,3,0,1,92,1292,1200,60,FALSE,0,2022-23
Sam Greenwood,FWD,Leeds,0.5,0,0,0,0,0,237,0,0,0,0,332,0,0,0,0,2023-04-30T13:00:00Z,0,Bournemouth,0,0,0,0,34,0,1303694,0,1,4,0,0,135747,153860,18113,40,FALSE,0,2022-23
Charlie Robinson,DEF,Fulham,-1.5,0,0,0,0,0,750,0,0,0,0,336,0,0,0,0,2023-04-30T13:00:00Z,0,Man City,0,0,0,0,34,0,1677,0,2,1,0,0,93,289,196,40,TRUE,0,2022-23
Charlie Robinson,DEF,Fulham,-1.5,0,0,0,0,0,750,0,0,0,0,276,0,0,0,0,2023-05-03T19:00:00Z,0,Liverpool,0,0,0,0,34,0,1677,0,0,1,0,0,93,289,196,40,FALSE,0,2022-23
Nathaniel Chalobah,MID,Fulham,0,0,0,0,0,0,203,0,0,0,0,336,0,0,0,0,2023-04-30T13:00:00Z,0,Man City,0,0,0,0,34,0,7712,0,2,1,0,0,-34,0,34,44,TRUE,0,2022-23
Nathaniel Chalobah,MID,Fulham,0,0,0,0,0,0,203,0,0,0,0,276,0,0,0,0,2023-05-03T19:00:00Z,0,Liverpool,0,0,0,0,34,0,7712,0,0,1,0,0,-34,0,34,44,FALSE,0,2022-23
Nathaniel Phillips,DEF,Liverpool,1,0,0,0,0,0,501,0,0,0,0,338,0,0,0,0,2023-04-30T15:30:00Z,0,Spurs,0,0,0,0,34,0,57108,0,3,4,0,0,953,2284,1331,38,TRUE,0,2022-23
Nathaniel Phillips,DEF,Liverpool,1,0,0,0,0,0,501,0,0,0,0,276,0,0,0,0,2023-05-03T19:00:00Z,0,Fulham,0,0,0,0,34,0,57108,0,0,1,0,0,953,2284,1331,38,TRUE,0,2022-23
Loïc Mbe Soh,DEF,Nott'm Forest,0,0,0,0,0,0,393,0,0,0,0,333,0,0,0,0,2023-04-29T14:00:00Z,0,Brentford,0,0,0,0,34,0,3351,0,1,2,0,0,-6,0,6,42,FALSE,0,2022-23
Diogo Pinheiro Monteiro,DEF,Leeds,0.5,0,0,0,0,0,743,0,0,0,0,332,0,0,0,0,2023-04-30T13:00:00Z,0,Bournemouth,0,0,0,0,34,0,1373,0,1,4,0,0,34,101,67,40,FALSE,0,2022-23
Jason Steele,GK,Brighton,10.4,0,0,24,1,0,102,0,0,0,0.7,334,0,0,2.2,22.4,2023-04-29T14:00:00Z,90,Wolves,0,0,0,0,34,2,490850,1,0,6,0,6,117346,128842,11496,39,TRUE,0,2022-23
Jason Steele,GK,Brighton,10.4,0,2,34,1,0,102,0,0,0,1.38,274,0,0,3.9,38.6,2023-05-04T19:00:00Z,90,Man Utd,0,0,0,0,34,5,490850,1,0,1,0,9,117346,128842,11496,39,TRUE,0,2022-23
Shola Shoretire,FWD,Man Utd,0,0,0,0,0,0,660,0,0,0,0,339,0,0,0,0,2023-04-30T13:00:00Z,0,Aston Villa,0,0,0,0,34,0,1879,0,0,1,0,0,-13,0,13,45,TRUE,0,2022-23
Shola Shoretire,FWD,Man Utd,0,0,0,0,0,0,660,0,0,0,0,274,0,0,0,0,2023-05-04T19:00:00Z,0,Brighton,0,0,0,0,34,0,1879,0,0,1,0,0,-13,0,13,45,FALSE,0,2022-23
Tosin Adarabioyo,DEF,Fulham,1.9,0,0,15,0,0.6,209,0,0,0,2.59,336,2,0,2.1,20.8,2023-04-30T13:00:00Z,90,Man City,0,0,0,0,34,0,12620,1,2,1,0,1,-71,207,278,44,TRUE,0,2022-23
