name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,season
Jason Steele,GK,Brighton,-0.5,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2022-10-08T16:30:00Z,0,0,0,0,0,10,0,75494,0,1,0,0.0,0,-1865,792,2657,40,True,0,Spurs,2022-23
Tosin Adarabioyo,DEF,Fulham,2.7,0,0,20,0,0.8,209,0.0,0.0,0.0,0.0,100,3,0,2.8,27.0,2022-10-09T13:00:00Z,90,0,0,0,0,10,0,15677,0,1,3,0.0,1,-1995,1547,3542,45,False,0,West Ham,2022-23
Kalvin Phillips,MID,Man City,0.0,0,0,0,0,0.0,325,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,14788,0,0,4,0.0,0,-1161,34,1195,48,True,0,Southampton,2022-23
Cafú,MID,Nott'm Forest,-0.5,0,0,0,0,0.0,383,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10T19:00:00Z,0,0,0,0,0,10,0,60451,0,1,1,0.0,0,8195,15255,7060,43,True,0,Aston Villa,2022-23
Marek Rodák,GK,Fulham,0.0,0,0,0,0,0.0,213,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,0,0,0,0,10,0,20104,0,1,3,0.0,0,-680,337,1017,44,False,0,West Ham,2022-23
Ryan Fraser,MID,Newcastle,1.0,0,0,0,0,0.0,359,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,10041,0,1,5,0.0,0,-1123,685,1808,53,True,0,Brentford,2022-23
Luke Thomas,DEF,Leicester,0.5,0,0,0,0,0.0,270,0.0,0.0,0.0,0.0,92,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,8727,0,1,2,0.0,0,-31,409,440,43,False,0,Bournemouth,2022-23
Karl Darlow,GK,Newcastle,0.0,0,0,0,0,0.0,353,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,0,0,0,0,10,0,165820,0,1,5,0.0,0,-10897,175,11072,40,True,0,Brentford,2022-23
Rodri,MID,Man City,3.7,1,0,27,1,24.4,315,0.0,0.0,0.0,0.0,97,0,0,6.3,38.2,2022-10-08T14:00:00Z,90,0,0,0,0,10,0,187732,0,0,4,0.0,6,-30542,3740,34282,57,True,0,Southampton,2022-23
Cristiano Ronaldo,FWD,Man Utd,4.5,0,3,34,1,15.9,326,0.0,0.0,0.0,0.0,96,0,1,8.7,41.0,2022-10-09T18:00:00Z,61,0,0,0,0,10,0,249320,0,2,1,30.0,9,-12239,4501,16740,102,False,0,Everton,2022-23
