name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Thomas Dickson-Peters,FWD,Norwich,0.0,0,0,0,0,0.0,649,269,0,0,0.0,0.0,2022-02-25T20:00:00Z,0,0,0,0,0,27,0,3813,0,2,0.0,0,-245,0,245,45,False,0,Southampton,Dickson-Peters
Rayan Ait Nouri,DEF,Wolves,1.6,0,0,0,0,0.0,470,270,0,0,0.0,0.0,2022-02-27T14:00:00Z,0,0,0,0,0,27,0,171561,0,1,0.0,0,9356,16754,7398,44,False,0,West Ham,Ait Nouri
Jacob Ramsey,MID,Aston Villa,5.0,0,0,8,1,2.2,51,263,0,0,3.6,14.2,2022-02-26T15:00:00Z,90,0,0,0,0,27,0,776669,2,0,20.0,3,40846,75885,35039,48,False,0,Brighton,Ramsey
Hugo Bueno,DEF,Wolves,0.0,0,0,0,0,0.0,635,270,0,0,0.0,0.0,2022-02-27T14:00:00Z,0,0,0,0,0,27,0,4345,0,1,0.0,0,60,284,224,40,False,0,West Ham,Bueno
Ben Johnson,DEF,West Ham,1.8,0,0,18,1,1.3,425,270,0,0,1.7,11.8,2022-02-27T14:00:00Z,90,0,0,0,0,27,0,281301,0,1,4.0,6,-6646,4882,11528,39,True,0,Wolves,Johnson
Samuel Edozie,MID,Man City,1.0,0,0,0,0,0.0,508,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,0,0,0,0,27,0,1529,1,0,0.0,0,-3,7,10,47,False,0,Everton,Edozie
Bali Mumba,DEF,Norwich,0.0,0,0,0,0,0.0,515,269,0,0,0.0,0.0,2022-02-25T20:00:00Z,0,0,0,0,0,27,0,21032,0,2,0.0,0,-343,0,343,39,False,0,Southampton,Mumba
Ferran Torres,MID,Man City,0.0,0,0,0,0,0.0,268,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,0,0,0,0,27,0,176749,1,0,0.0,0,-939,0,939,67,False,0,Everton,Torres
Scott Banks,MID,Crystal Palace,0.5,0,0,0,0,0.0,543,265,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,3370,1,1,0.0,0,32,113,81,45,True,0,Burnley,Banks
Alexis Mac Allister,MID,Brighton,1.5,0,0,7,0,3.5,74,263,2,0,2.3,7.4,2022-02-26T15:00:00Z,90,0,0,0,0,27,0,69224,2,0,12.0,2,-4570,2014,6584,53,True,0,Aston Villa,Mac Allister
Cieran Slicker,GK,Man City,1.0,0,0,0,0,0.0,615,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,0,0,0,0,27,0,1438,1,0,0.0,0,1,30,29,40,False,0,Everton,Slicker
Hannibal Mejbri,MID,Man Utd,1.0,0,0,0,0,0.0,706,268,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,200,0,0,0.0,0,16,47,31,45,True,0,Watford,Mejbri
Mathew Ryan,GK,Brighton,0.0,0,0,0,0,0.0,65,263,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,0,0,0,0,27,0,606,2,0,0.0,0,0,0,0,45,True,0,Aston Villa,Ryan
