name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Rayan Ait Nouri,DEF,Wolves,2.2,0,0,8,0,15.9,470,300,3,0,3.7,10.6,2022-03-18T20:00:00Z,90,0,0,0,0,30,0,170369,3,2,10.0,1,3727,11035,7308,44,True,0,Leeds
John McGinn,MID,Aston Villa,1.8,0,0,15,0,36.4,35,291,1,0,5.8,16.4,2022-03-19T12:30:00Z,90,0,0,0,0,30,0,96376,1,0,5.0,1,373,2277,1904,57,True,1,Arsenal
Bukayo Saka,MID,Arsenal,7.0,0,3,30,1,28.2,22,291,0,1,11.1,36.8,2022-03-19T12:30:00Z,68,0,0,0,0,30,0,3074753,1,0,46.0,11,209612,231303,21691,67,False,0,Aston Villa
Marvelous Nakamba,MID,Aston Villa,0.0,0,0,0,0,0.0,41,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,12217,1,0,0.0,0,-47,42,89,44,True,0,Arsenal
Cédric Soares,DEF,Arsenal,3.2,0,0,24,1,26.7,5,291,0,0,4.6,17.6,2022-03-19T12:30:00Z,90,0,0,0,0,30,0,27801,1,0,2.0,5,4187,4814,627,42,False,1,Aston Villa
Eric Dier,DEF,Spurs,3.3,0,0,14,0,0.5,361,298,1,0,1.1,10.0,2022-03-20T16:30:00Z,90,0,0,0,0,30,0,441955,1,3,0.0,2,13640,21460,7820,46,True,0,West Ham
Charlie Cresswell,DEF,Leeds,-0.5,0,0,2,0,0.2,563,300,1,0,1.3,9.2,2022-03-18T20:00:00Z,45,0,0,0,0,30,0,31491,3,2,4.0,0,131,535,404,40,False,1,Wolves
Eldin Jakupovic,GK,Leicester,0.5,0,0,0,0,0.0,573,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,0,0,0,0,30,0,19065,1,2,0.0,0,938,1435,497,39,True,0,Brentford
Dejan Kulusevski,MID,Spurs,6.3,0,0,17,0,27.3,701,298,1,0,7.6,4.6,2022-03-20T16:30:00Z,90,0,0,0,0,30,0,1213208,1,3,44.0,2,226750,238990,12240,62,True,0,West Ham
Ryan Alebiosu,DEF,Arsenal,0.0,0,0,0,0,0.0,695,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,64,1,0,0.0,0,0,0,0,40,False,0,Aston Villa
Maxwell Haygarth,MID,Brentford,-0.5,0,0,0,0,0.0,628,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,0,0,0,0,30,0,362,1,2,0.0,0,-13,18,31,45,False,0,Leicester
Pontus Jansson,DEF,Brentford,2.1,0,0,10,0,10.5,76,293,2,0,11.4,26.4,2022-03-20T14:00:00Z,90,0,0,0,0,30,0,609114,1,2,77.0,1,12850,19327,6477,45,False,0,Leicester
João Moutinho,MID,Wolves,2.4,0,0,13,0,26.5,426,300,3,0,3.3,6.0,2022-03-18T20:00:00Z,90,0,0,0,0,30,0,85372,3,2,0.0,2,3932,6216,2284,49,True,0,Leeds
James Storer,GK,Wolves,0.5,0,0,0,0,0.0,621,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,0,0,0,0,30,0,13604,3,2,0.0,0,-67,347,414,40,True,0,Leeds
Nuno Tavares,DEF,Arsenal,0.7,0,0,0,0,0.0,466,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,30283,1,0,0.0,0,-522,178,700,43,False,0,Aston Villa
Yoane Wissa,MID,Brentford,2.3,0,1,30,0,22.3,524,293,2,1,8.5,47.6,2022-03-20T14:00:00Z,90,0,0,0,0,30,0,6973,1,2,15.0,8,84,264,180,57,False,0,Leicester
Omari Hutchinson,MID,Arsenal,0.5,0,0,0,0,0.0,692,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,171,1,0,0.0,0,-6,11,17,45,False,0,Aston Villa
Tim Iroegbunam,MID,Aston Villa,-0.3,0,0,0,0,0.0,638,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,343,1,0,0.0,0,0,11,11,45,True,0,Arsenal
Dane Scarlett,FWD,Spurs,0.1,0,0,0,0,0.0,520,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,0,0,0,0,30,0,198888,1,3,0.0,0,-2680,4682,7362,45,True,0,West Ham
Aaron Ramsdale,GK,Arsenal,3.2,0,0,0,0,0.0,559,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,1881867,1,0,0.0,0,43844,61455,17611,51,False,0,Aston Villa
Luke Thomas,DEF,Leicester,3.3,0,0,0,0,0.0,219,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,0,0,0,0,30,0,192318,1,2,0.0,0,38670,40470,1800,43,True,0,Brentford
Diego Llorente,DEF,Leeds,-0.1,0,0,5,0,0.0,190,300,1,0,0.8,7.6,2022-03-18T20:00:00Z,39,0,0,0,0,30,0,41305,3,2,0.0,1,3567,4343,776,45,False,0,Wolves
Robin Koch,DEF,Leeds,0.2,0,0,9,0,10.9,194,300,1,0,2.9,18.0,2022-03-18T20:00:00Z,50,0,0,0,0,30,0,13315,3,2,0.0,1,275,445,170,43,False,0,Wolves
Albert Sambi Lokonga,MID,Arsenal,0.5,0,0,0,0,0.0,478,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,0,0,0,0,30,0,10540,1,0,0.0,0,-74,27,101,48,False,0,Aston Villa
Sam Greenwood,FWD,Leeds,0.2,1,0,15,0,12.3,550,300,2,0,4.4,17.8,2022-03-18T20:00:00Z,67,0,0,0,0,30,0,144207,3,2,14.0,5,1521,5152,3631,45,False,0,Wolves
Alexandre Lacazette,FWD,Arsenal,5.2,0,0,10,1,1.7,6,291,0,0,3.8,6.4,2022-03-19T12:30:00Z,77,0,0,0,0,30,0,1087821,1,0,30.0,2,108160,123613,15453,84,False,0,Aston Villa
Pascal Struijk,DEF,Leeds,-0.2,0,0,17,0,0.6,198,300,2,0,2.2,19.0,2022-03-18T20:00:00Z,90,0,0,0,0,30,0,14320,3,2,2.0,0,637,902,265,43,False,1,Wolves
Louie Moulden,GK,Wolves,0.0,0,0,0,0,0.0,611,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,0,0,0,0,30,0,12836,3,2,0.0,0,-185,0,185,40,True,0,Leeds
