name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Alireza Jahanbakhsh,MID,Brighton,0.0,0,0,0,0,0.0,66,373,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,99,1,3,0.0,0,0,0,0,55,True,0,West Ham,Jahanbakhsh
Willy Boly,DEF,Wolves,0.2,0,0,23,0,0.0,428,378,3,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,11106,1,3,0.0,1,-638,363,1001,49,False,0,Liverpool,Boly
José Diogo Dalot Teixeira,DEF,Man Utd,2.3,0,0,12,0,0.0,510,376,1,0,0.0,0.0,2022-05-22T15:00:00Z,78,0,0,0,0,38,0,125273,0,1,0.0,1,-947,4263,5210,42,False,1,Crystal Palace,Dalot
Jeffrey Schlupp,MID,Crystal Palace,2.0,0,0,10,1,0.0,155,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,7184,0,1,0.0,3,54,539,485,54,True,0,Man Utd,Schlupp
Samuel Kalu,MID,Watford,-0.2,0,0,0,0,0.0,698,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,324,1,2,0.0,0,-82,58,140,49,False,0,Chelsea,Kalu
Robert Elliot,GK,Watford,-1.0,0,0,0,0,0.0,574,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,47699,1,2,0.0,0,-631,105,736,40,False,0,Chelsea,Elliot
Joshua King,FWD,Watford,-0.2,0,0,6,0,0.0,468,375,1,0,0.0,0.0,2022-05-22T15:00:00Z,71,0,0,0,0,38,0,266519,1,2,0.0,2,-12026,2380,14406,56,False,0,Chelsea,King
Richarlison de Andrade,FWD,Everton,4.0,0,0,0,0,0.0,180,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,1098897,1,5,0.0,0,-73688,82556,156244,76,False,0,Arsenal,Richarlison
Jamal Baptiste,DEF,West Ham,0.0,0,0,0,0,0.0,554,373,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,25797,1,3,0.0,0,853,1262,409,39,False,0,Brighton,Baptiste
Filip Marschall,GK,Aston Villa,0.0,0,0,0,0,0.0,650,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,500,2,3,0.0,0,-11,0,11,40,False,0,Man City,Marschall
Sam Byram,DEF,Norwich,-0.3,0,0,0,0,0.0,321,380,2,0,0.0,0.0,2022-05-22T15:00:00Z,35,0,0,0,0,38,0,1990,5,0,0.0,-1,3,113,110,44,True,1,Spurs,Byram
Danny Rose,DEF,Watford,0.0,0,0,0,0,0.0,377,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,15770,1,2,0.0,0,-84,98,182,42,False,0,Chelsea,Rose
Julian Jeanvier,DEF,Brentford,-0.5,0,0,0,0,0.0,722,372,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,554,2,1,0.0,0,45,78,33,40,True,0,Leeds,Jeanvier
Ederson Santana de Moraes,GK,Man City,4.2,0,0,7,0,0.0,257,379,2,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,1099690,2,3,0.0,1,-7264,13441,20705,62,True,0,Aston Villa,Ederson
Dion Sanderson,DEF,Wolves,0.0,0,0,0,0,0.0,686,378,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,194,1,3,0.0,0,-1,0,1,40,False,0,Liverpool,Sanderson
Liam Cooper,DEF,Leeds,2.2,0,0,8,0,0.0,184,372,1,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,23273,2,1,0.0,2,732,1555,823,44,False,0,Brentford,Cooper
Frédéric Guilbert,DEF,Aston Villa,0.0,0,0,0,0,0.0,46,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,1123,2,3,0.0,0,-3,0,3,45,False,0,Man City,Guilbert
Matt Targett,DEF,Newcastle,4.1,0,1,21,0,0.0,39,374,1,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,265742,2,1,0.0,3,22888,28107,5219,47,False,0,Burnley,Targett
James McAtee,MID,Man City,1.0,0,0,0,0,0.0,629,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,523,2,3,0.0,0,17,32,15,44,True,0,Aston Villa,McAtee
Adama Traoré,MID,Wolves,0.0,0,0,0,0,0.0,435,378,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,95467,1,3,0.0,0,-304,0,304,56,False,0,Liverpool,Traoré
Jorge Luiz Frello Filho,MID,Chelsea,2.1,0,0,0,0,0.0,123,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,361881,1,2,0.0,0,658,4494,3836,57,True,0,Watford,Jorginho
Diogo Jota,MID,Liverpool,3.8,0,0,4,0,0.0,240,378,1,0,0.0,0.0,2022-05-22T15:00:00Z,57,0,0,0,0,38,0,1586465,1,3,0.0,1,10403,60771,50368,83,True,0,Wolves,Jota
Ilkay Gündogan,MID,Man City,4.8,0,3,39,0,0.0,250,379,1,2,0.0,0.0,2022-05-22T15:00:00Z,22,0,0,0,0,38,0,234719,2,3,0.0,14,-3850,1303,5153,71,True,0,Aston Villa,Gündogan
Luke Shaw,DEF,Man Utd,0.4,0,0,0,0,0.0,275,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,988665,0,1,0.0,0,-3550,82,3632,50,False,0,Crystal Palace,Shaw
Armando Broja,FWD,Southampton,1.2,0,0,0,0,0.0,518,377,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,713795,1,4,0.0,0,-15413,30049,45462,53,False,0,Leicester,Broja
Ed Turns,DEF,Brighton,0.0,0,0,0,0,0.0,653,373,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,4042,1,3,0.0,0,-5,57,62,40,True,0,West Ham,Turns
Nicolas Nkoulou,DEF,Watford,-1.0,0,0,0,0,0.0,618,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,580,1,2,0.0,0,-17,14,31,44,False,0,Chelsea,Nkoulou
Stipe Perica,FWD,Watford,0.0,0,0,0,0,0.0,388,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,50989,1,2,0.0,0,-287,0,287,45,False,0,Chelsea,Perica
Emerson Palmieri dos Santos,DEF,Chelsea,0.0,0,0,0,0,0.0,539,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,929,1,2,0.0,0,-1,0,1,45,True,0,Watford,Emerson
Daniel Chesters,MID,West Ham,0.0,0,0,0,0,0.0,710,373,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,369,1,3,0.0,0,6,23,17,45,False,0,Brighton,Chesters
Isaac Success Ajayi,FWD,Watford,0.0,0,0,0,0,0.0,393,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,8461,1,2,0.0,0,-18,0,18,50,False,0,Chelsea,Success
Brandon Austin,GK,Spurs,1.0,0,0,0,0,0.0,659,380,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,2371,5,0,0.0,0,3,119,116,40,False,0,Norwich,Austin
Declan Rice,MID,West Ham,2.0,0,0,17,0,0.0,421,373,3,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,389323,1,3,0.0,2,577,4645,4068,50,False,0,Brighton,Rice
Juan Mata,MID,Man Utd,2.1,0,0,4,0,0.0,459,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,28,0,0,0,0,38,0,6806,0,1,0.0,1,321,458,137,47,False,0,Crystal Palace,Mata
Hélder Wander Sousa de Azevedo e Costa,MID,Leeds,0.0,0,0,0,0,0.0,192,372,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,4158,2,1,0.0,0,-8,0,8,54,False,0,Brentford,Costa
Zak Swanson,DEF,Arsenal,1.0,0,0,0,0,0.0,711,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,1133,1,5,0.0,0,57,98,41,40,True,0,Everton,Swanson
Sam Waller,GK,Burnley,-0.5,0,0,0,0,0.0,708,374,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,1527,2,1,0.0,0,-195,265,460,40,True,0,Newcastle,Waller
Robert Street,FWD,Crystal Palace,0.0,0,0,0,0,0.0,542,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,73099,0,1,0.0,0,-636,0,636,45,True,0,Man Utd,Street
Liam Delap,FWD,Man City,1.0,0,0,0,0,0.0,704,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,22809,2,3,0.0,0,-113,2092,2205,45,True,0,Aston Villa,Delap
Harvey Elliott,MID,Liverpool,1.3,0,0,0,0,0.0,506,378,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,7562,1,3,0.0,0,43,117,74,53,True,0,Wolves,Elliott
Jamie Bowden,MID,Spurs,1.0,0,0,0,0,0.0,717,380,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,255,5,0,0.0,0,12,36,24,45,False,0,Norwich,Bowden
Mahmoud Ahmed Ibrahim Hassan,MID,Aston Villa,0.0,0,0,0,0,0.0,37,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,1448,2,3,0.0,0,-2,0,2,54,False,0,Man City,Trézéguet
Ashley Young,DEF,Aston Villa,0.1,0,0,2,0,0.0,52,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,2,0,0,0,0,38,0,43931,2,3,0.0,1,-1281,176,1457,47,False,0,Man City,Young
Hamza Choudhury,MID,Leicester,0.0,0,0,0,0,0.0,214,377,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,9649,1,4,0.0,0,-20,68,88,44,True,0,Southampton,Choudhury
Marc Leonard,MID,Brighton,0.0,0,0,0,0,0.0,654,373,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,529,1,3,0.0,0,10,50,40,45,True,0,West Ham,Leonard
Christoph Zimmermann,DEF,Norwich,0.0,0,0,2,0,0.0,324,380,3,0,0.0,0.0,2022-05-22T15:00:00Z,54,0,0,0,0,38,0,3701,5,0,0.0,0,72,127,55,44,True,0,Spurs,Zimmermann
Tyler Dibling,MID,Southampton,0.0,0,0,0,0,0.0,731,377,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,89,1,4,0.0,0,44,55,11,45,False,0,Leicester,Dibling
Tammy Abraham,FWD,Chelsea,0.0,0,0,0,0,0.0,136,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,11175,1,2,0.0,0,-12,0,12,65,True,0,Watford,Abraham
Shane Duffy,DEF,Brighton,0.0,0,0,0,0,0.0,56,373,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,698216,1,3,0.0,0,-5252,3205,8457,40,True,0,West Ham,Duffy
Juraj Kucka,MID,Watford,0.0,0,0,0,0,0.0,495,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,12192,1,2,0.0,0,-299,37,336,55,False,0,Chelsea,Kucka
André Filipe Tavares Gomes,MID,Everton,-0.6,0,0,0,0,0.0,172,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,7178,1,5,0.0,0,37,92,55,49,False,0,Arsenal,André Gomes
Reece James,DEF,Chelsea,5.4,1,2,26,0,0.0,142,375,1,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,1780503,1,2,0.0,7,116742,139280,22538,65,True,0,Watford,James
Luke Cundle,MID,Wolves,-0.8,0,0,0,0,0.0,547,378,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,6355,1,3,0.0,0,-6,50,56,44,False,0,Liverpool,Cundle
Adam Forshaw,MID,Leeds,0.0,0,0,0,0,0.0,552,372,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,5048,2,1,0.0,0,-80,23,103,45,False,0,Brentford,Forshaw
Kepa Arrizabalaga,GK,Chelsea,1.0,0,0,0,0,0.0,129,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,32341,1,2,0.0,0,575,1003,428,45,True,0,Watford,Arrizabalaga
Kortney Hause,DEF,Aston Villa,0.0,0,0,0,0,0.0,36,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,14410,2,3,0.0,0,-141,35,176,44,False,0,Man City,Hause
Kgaogelo Chauke,MID,Southampton,0.0,0,0,0,0,0.0,680,377,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,340,1,4,0.0,0,6,27,21,45,False,0,Leicester,Chauke
Tyrone Mings,DEF,Aston Villa,1.6,0,0,8,0,0.0,38,379,3,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,625542,2,3,0.0,0,-40736,4743,45479,50,False,1,Man City,Mings
Ainsley Maitland-Niles,MID,Arsenal,0.0,0,0,0,0,0.0,13,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,4066,1,5,0.0,0,-6,0,6,52,True,0,Everton,Maitland-Niles
Jesse Lingard,MID,Man Utd,0.7,0,0,0,0,0.0,276,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,85376,0,1,0.0,0,-72,152,224,67,False,0,Crystal Palace,Lingard
Billy Gilmour,MID,Norwich,0.2,0,0,0,0,0.0,145,380,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,271809,5,0,0.0,0,-5460,326,5786,43,True,0,Spurs,Gilmour
Jaden Philogene-Bidace,MID,Aston Villa,0.0,0,0,0,0,0.0,497,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,1487,2,3,0.0,0,-2,0,2,50,False,0,Man City,Philogene-Bidace
Fernando Luiz Rosa,MID,Man City,3.3,0,0,8,0,0.0,453,379,1,0,0.0,0.0,2022-05-22T15:00:00Z,45,0,0,0,0,38,0,31462,2,3,0.0,1,635,1083,448,47,True,0,Aston Villa,Fernandinho
Jonathan Rowe,MID,Norwich,-0.3,0,0,0,0,0.0,648,380,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,897,5,0,0.0,0,32,77,45,44,True,0,Spurs,Rowe
Björn Engels,DEF,Aston Villa,0.0,0,0,0,0,0.0,31,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,39,2,3,0.0,0,0,0,0,45,False,0,Man City,Engels
Tariqe Fosu-Henry,MID,Brentford,-0.5,0,0,0,0,0.0,79,372,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,2873,2,1,0.0,0,12,35,23,51,True,0,Leeds,Fosu
Thomas Partey,MID,Arsenal,0.2,0,0,0,0,0.0,15,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,21698,1,5,0.0,0,-315,46,361,50,True,0,Everton,Partey
Karl Hein,GK,Arsenal,0.0,0,0,0,0,0.0,532,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,31215,1,5,0.0,0,-238,0,238,40,True,0,Everton,Hein
Francisco Femenía Far,DEF,Watford,-0.3,0,0,10,0,0.0,382,375,2,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,12647,1,2,0.0,1,-1399,64,1463,43,False,0,Chelsea,Femenía
Maxwel Cornet,MID,Burnley,3.2,0,2,22,0,0.0,578,374,2,1,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,75280,2,1,0.0,9,6119,10935,4816,58,True,0,Newcastle,Cornet
Raúl Jiménez,FWD,Wolves,1.3,1,0,19,0,0.0,430,378,3,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,381044,1,3,0.0,5,-16846,1891,18737,75,False,0,Liverpool,Jiménez
Jarell Quansah,DEF,Liverpool,1.0,0,0,0,0,0.0,660,378,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,1042,1,3,0.0,0,7,30,23,40,True,0,Wolves,Quansah
Sean Longstaff,MID,Newcastle,2.5,0,0,10,0,0.0,309,374,1,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,45617,2,1,0.0,2,2319,3503,1184,43,False,0,Burnley,S.Longstaff
Boubakary Soumaré,MID,Leicester,0.3,0,0,0,0,0.0,458,377,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,6857,1,4,0.0,0,-37,20,57,48,True,0,Southampton,Soumaré
Héctor Bellerín,DEF,Arsenal,0.0,0,0,0,0,0.0,9,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,17955,1,5,0.0,0,-13,0,13,48,True,0,Everton,Bellerín
Emmanuel Dennis,FWD,Watford,0.0,0,0,0,0,0.0,450,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,1770332,1,2,0.0,0,-329849,436,330285,58,False,0,Chelsea,Dennis
Lucas Torreira,MID,Arsenal,0.0,0,0,0,0,0.0,18,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,10754,1,5,0.0,0,-22,0,22,45,True,0,Everton,Torreira
Nampalys Mendy,MID,Leicester,1.6,0,0,5,0,0.0,203,377,1,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,99439,1,4,0.0,2,-772,1458,2230,43,True,0,Southampton,Mendy
Ryan Fraser,MID,Newcastle,0.3,0,0,0,0,0.0,298,374,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,24609,2,1,0.0,0,-1381,608,1989,51,False,0,Burnley,Fraser
Alex Kral,MID,West Ham,0.0,0,0,0,0,0.0,589,373,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,9437,1,3,0.0,0,-23,40,63,44,False,0,Brighton,Kral
Paul Pogba,MID,Man Utd,0.0,0,0,0,0,0.0,272,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,579602,0,1,0.0,0,-1770,64,1834,74,False,0,Crystal Palace,Pogba
Josh Feeney,DEF,Aston Villa,-1.0,0,0,0,0,0.0,670,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,1467,2,3,0.0,0,30,68,38,40,False,0,Man City,Feeney
Bertrand Traoré,MID,Aston Villa,-0.7,0,0,0,0,0.0,32,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,25796,2,3,0.0,0,0,117,117,57,False,0,Man City,Traoré
Leandro Trossard,MID,Brighton,7.0,0,0,0,0,0.0,64,373,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,260094,1,3,0.0,0,19080,42400,23320,59,True,0,West Ham,Trossard
Christian Nørgaard,MID,Brentford,2.1,0,0,0,0,0.0,77,372,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,59629,2,1,0.0,0,4219,5619,1400,50,True,0,Leeds,Nørgaard
Wesley Fofana,DEF,Leicester,2.0,0,0,15,0,0.0,220,377,1,0,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,79083,1,4,0.0,2,-96,3146,3242,43,True,0,Southampton,Fofana
Tommy Doyle,MID,Man City,0.0,0,0,0,0,0.0,566,379,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,258,2,3,0.0,0,-1,0,1,45,True,0,Aston Villa,Doyle
Nemanja Matic,MID,Man Utd,3.7,0,0,0,0,0.0,271,376,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,45746,0,1,0.0,0,1502,3621,2119,43,False,0,Crystal Palace,Matic
Arthur Masuaku,DEF,West Ham,0.4,0,0,0,0,0.0,417,373,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,11019,1,3,0.0,0,-49,111,160,44,False,0,Brighton,Masuaku
Bernard Anício Caldeira Duarte,MID,Everton,0.0,0,0,0,0,0.0,167,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,202,1,5,0.0,0,0,0,0,55,False,0,Arsenal,Bernard
Brandon Williams,DEF,Norwich,-1.0,0,0,0,0,0.0,290,380,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,418482,5,0,0.0,0,-3289,5987,9276,39,True,0,Spurs,Williams
Kenny McLean,MID,Norwich,0.0,0,0,0,0,0.0,318,380,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,4910,5,0,0.0,0,-126,91,217,49,True,0,Spurs,McLean
Jeremy Ngakia,DEF,Watford,0.3,0,0,0,0,0.0,400,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,4261,1,2,0.0,0,-199,49,248,42,False,0,Chelsea,Ngakia
Connor Roberts,DEF,Burnley,1.7,0,0,2,0,0.0,585,374,1,0,0.0,0.0,2022-05-22T15:00:00Z,45,0,0,0,0,38,0,53869,2,1,0.0,1,841,4919,4078,44,True,0,Newcastle,Roberts
Sadio Mané,MID,Liverpool,4.7,0,2,32,0,0.0,230,378,1,1,0.0,0.0,2022-05-22T15:00:00Z,90,0,0,0,0,38,0,453557,1,3,0.0,9,53514,80686,27172,118,True,0,Wolves,Mané
Conor Bradley,DEF,Liverpool,1.0,0,0,0,0,0.0,626,378,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,1883,1,3,0.0,0,27,45,18,40,True,0,Wolves,Bradley
Edward Nketiah,FWD,Arsenal,5.2,0,0,30,0,0.0,20,371,1,1,0.0,0.0,2022-05-22T15:00:00Z,66,0,0,0,0,38,0,1060565,1,5,0.0,6,90107,143847,53740,57,True,0,Everton,Nketiah
Jakub Moder,MID,Brighton,0.0,0,0,0,0,0.0,75,373,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,45154,1,3,0.0,0,-782,40,822,45,True,0,West Ham,Moder
Ben Davies,DEF,Liverpool,0.0,0,0,0,0,0.0,248,378,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,9376,1,3,0.0,0,-20,0,20,40,True,0,Wolves,Davies
Trevoh Chalobah,DEF,Chelsea,3.3,0,0,0,0,0.0,527,375,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,227095,1,2,0.0,0,9535,14288,4753,47,True,0,Watford,Chalobah
Bali Mumba,DEF,Norwich,0.0,0,0,0,0,0.0,515,380,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,19382,5,0,0.0,0,-121,0,121,39,True,0,Spurs,Mumba
Enock Mwepu,MID,Brighton,1.2,0,0,2,0,0.0,462,373,0,0,0.0,0.0,2022-05-22T15:00:00Z,11,0,0,0,0,38,0,7647,1,3,0.0,1,-148,239,387,59,True,0,West Ham,Mwepu
Theo Walcott,MID,Southampton,0.0,0,0,0,0,0.0,332,377,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,10394,1,4,0.0,0,5,60,55,58,False,0,Leicester,Walcott
Fabian Schär,DEF,Newcastle,0.8,0,0,0,0,0.0,305,374,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,0,0,0,0,38,0,221050,2,1,0.0,0,-34198,1950,36148,41,False,0,Burnley,Schär
Mateusz Klich,MID,Leeds,1.7,0,0,3,0,0.0,186,372,0,0,0.0,0.0,2022-05-22T15:00:00Z,5,0,0,0,0,38,0,26042,2,1,0.0,1,7,444,437,51,False,0,Brentford,Klich
