name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP,season
Axel Tuanzebe,0,0,0,0,0.0,481,135,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,9015,2,2,0.0,0,18,271,253,44,True,0,Aston Villa,Man Utd,DEF,0,2019-20
Aymeric Laporte,0,0,0,0,0.0,202,136,0,0,0.0,0.0,2019-11-30T12:30:00Z,0,0,0,0,0,14,0,147668,2,2,0.0,0,-1315,703,2018,63,False,0,Newcastle,Man City,DEF,0,2019-20
Ayotomiwa Dele-Bashiru,0,0,0,0,0.0,563,138,0,0,0.0,0.0,2019-11-30T17:30:00Z,0,0,0,0,0,14,0,103,1,2,0.0,0,51,74,23,45,False,0,Southampton,Watford,MID,0,2019-20
Ayoze Pérez,0,0,2,0,4.2,265,133,1,0,3.3,0.2,2019-12-01T16:30:00Z,61,0,0,0,0,14,0,523492,1,2,29.0,2,53658,73157,19499,62,True,0,Everton,Leicester,MID,0,2019-20
Bailey Peacock-Farrell,0,0,0,0,0.0,495,131,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,5470,2,0,0.0,0,-50,30,80,44,True,0,Crystal Palace,Burnley,GK,0,2019-20
Dele Alli,0,3,50,0,15.9,344,139,1,2,16.6,80.6,2019-11-30T15:00:00Z,90,0,0,0,0,14,0,121017,2,3,69.0,15,45083,51188,6105,84,True,0,Bournemouth,Spurs,MID,0,2019-20
Beni Baningime,0,0,0,0,0.0,557,133,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,424,1,2,0.0,0,-19,63,82,45,False,0,Leicester,Everton,MID,0,2019-20
Ben Chilwell,0,0,15,0,28.9,161,133,1,0,4.7,16.2,2019-12-01T16:30:00Z,90,0,0,0,0,14,0,1053716,1,2,2.0,2,104456,121897,17441,59,True,0,Everton,Leicester,DEF,0,2019-20
Benjamin Mendy,0,0,17,0,28.3,204,136,2,0,5.3,16.6,2019-11-30T12:30:00Z,90,0,0,0,0,14,0,74332,2,2,8.0,1,-5639,5065,10704,57,False,0,Newcastle,Man City,DEF,0,2019-20
Ben Davies,0,0,0,0,0.0,329,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,11152,2,3,0.0,0,-898,455,1353,54,True,0,Bournemouth,Spurs,DEF,0,2019-20
Ben Foster,0,0,15,0,0.1,366,138,2,0,2.3,23.0,2019-11-30T17:30:00Z,90,0,0,0,0,14,3,152008,1,2,0.0,2,-6346,3354,9700,48,False,0,Southampton,Watford,GK,0,2019-20
Ben Gibson,0,0,0,0,0.0,89,131,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,190954,2,0,0.0,0,3110,8131,5021,39,True,0,Crystal Palace,Burnley,DEF,0,2019-20
Ben Godfrey,0,0,15,0,0.3,273,137,2,0,3.2,31.6,2019-12-01T14:00:00Z,90,0,0,0,0,14,0,15321,2,2,0.0,1,324,758,434,44,True,0,Arsenal,Norwich,DEF,0,2019-20
Ben Johnson,0,0,0,0,0.0,384,132,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,99491,1,0,0.0,0,-2012,434,2446,40,False,0,Chelsea,West Ham,DEF,0,2019-20
Ben Mee,0,0,11,0,0.4,83,131,2,0,5.7,18.8,2019-11-30T15:00:00Z,90,0,0,0,0,14,0,64272,2,0,38.0,1,931,2754,1823,50,True,0,Crystal Palace,Burnley,DEF,0,2019-20
Ben Osborn,0,0,0,0,0.0,472,140,0,0,0.0,0.0,2019-12-01T14:00:00Z,0,0,0,0,0,14,0,2305,1,1,0.0,0,14,66,52,47,False,0,Wolves,Sheffield Utd,MID,0,2019-20
Beram Kayal,0,0,0,0,0.0,56,134,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,16519,1,2,0.0,0,5015,7340,2325,43,False,0,Liverpool,Brighton,MID,0,2019-20
Bernardo Silva,0,0,-2,0,1.3,218,136,1,0,0.4,0.0,2019-11-30T12:30:00Z,21,0,0,0,0,14,0,751537,2,2,4.0,1,-14629,23461,38090,79,False,0,Newcastle,Man City,MID,0,2019-20
Bernardo,0,0,0,0,0.0,39,134,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,6251,1,2,0.0,0,-92,4,96,43,False,0,Liverpool,Brighton,DEF,0,2019-20
Bernard,0,0,0,0,0.0,152,133,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,46216,1,2,0.0,0,-1374,40,1414,64,False,0,Leicester,Everton,MID,0,2019-20
Bernard Ashley-Seal,0,0,0,0,0.0,559,140,0,0,0.0,0.0,2019-12-01T14:00:00Z,0,0,0,0,0,14,0,2322,1,1,0.0,0,-147,419,566,45,True,0,Sheffield Utd,Wolves,FWD,0,2019-20
Bernd Leno,0,0,20,0,0.0,14,137,2,0,4.9,48.8,2019-12-01T14:00:00Z,90,0,0,0,0,14,6,421399,2,2,0.0,3,-1757,10066,11823,50,False,0,Norwich,Arsenal,GK,0,2019-20
Billy Gilmour,0,0,0,0,0.0,533,132,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,1801,1,0,0.0,0,10,118,108,45,True,0,West Ham,Chelsea,MID,0,2019-20
Billy Sharp,0,0,0,0,0.0,298,140,0,0,0.0,0.0,2019-12-01T14:00:00Z,0,0,0,0,0,14,0,23251,1,1,0.0,0,-215,410,625,57,False,0,Wolves,Sheffield Utd,FWD,0,2019-20
Birkir Bjarnason,0,0,0,0,0.0,33,135,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,2792,2,2,0.0,0,-65,14,79,45,False,0,Man Utd,Aston Villa,MID,0,2019-20
Björn Engels,0,0,0,0,0.0,455,135,0,0,0.0,0.0,2019-12-01T16:30:00Z,0,0,0,0,0,14,0,52990,2,2,0.0,0,-5587,266,5853,45,False,0,Man Utd,Aston Villa,DEF,0,2019-20
Brandon Austin,0,0,0,0,0.0,558,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,0,0,0,0,14,0,6618,2,3,0.0,0,728,1148,420,40,True,0,Bournemouth,Spurs,GK,0,2019-20
Brandon Williams,0,0,11,0,3.0,549,135,2,0,1.9,12.4,2019-12-01T16:30:00Z,78,0,0,0,0,14,0,126962,2,2,4.0,0,54802,59141,4339,40,True,1,Aston Villa,Man Utd,DEF,0,2019-20
Bukayo Saka,0,0,3,0,4.8,541,137,0,0,1.5,4.0,2019-12-01T14:00:00Z,12,0,0,0,0,14,0,56107,2,2,6.0,1,-9342,937,10279,45,False,0,Norwich,Arsenal,MID,0,2019-20
Callum Hudson-Odoi,0,0,6,0,3.3,116,132,0,0,1.3,5.4,2019-11-30T15:00:00Z,19,0,0,0,0,14,0,63794,1,0,4.0,1,-35977,293,36270,57,True,0,West Ham,Chelsea,MID,0,2019-20
