name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position
Harry Winks,0,0,17,0,5.9,347,219,1,0,2.1,15.4,2020-01-11T17:30:00Z,90,0,0,0,0,22,0,18312,1,0,0.0,2,-345,143,488,52,True,0,Liverpool,Spurs,MID
Scott Carson,0,0,0,0,0.0,562,211,0,0,0.0,0.0,2020-01-12T16:30:00Z,0,0,0,0,0,22,0,5657,6,1,0.0,0,504,892,388,40,False,0,Aston Villa,Man City,GK
Ashley Westwood,0,0,6,0,2.1,101,213,3,0,2.8,8.0,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,27035,0,3,18.0,1,187,2222,2035,54,False,1,Chelsea,Burnley,MID
Lucas Digne,1,3,40,1,41.9,141,215,0,0,7.9,31.0,2020-01-11T15:00:00Z,84,0,0,0,0,22,0,862158,0,1,6.0,12,9005,33334,24329,57,True,0,Brighton,Everton,DEF
Ayoze Pérez,0,0,5,0,5.0,265,216,1,0,1.0,4.6,2020-01-11T15:00:00Z,66,0,0,0,0,22,0,446880,2,1,0.0,2,118506,137789,19283,60,True,0,Southampton,Leicester,MID
Nathan Aké,0,0,17,0,2.8,59,212,3,0,2.0,17.0,2020-01-12T14:00:00Z,90,0,0,0,0,22,0,471675,3,0,0.0,1,-29860,312,30172,48,True,0,Watford,Bournemouth,DEF
Isaac Hayden,0,0,6,0,6.8,271,220,1,0,1.7,10.6,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,258279,1,1,0.0,2,1857,16072,14215,43,False,0,Wolves,Newcastle,MID
Patrick van Aanholt,0,0,0,0,0.0,123,214,0,0,0.0,0.0,2020-01-11T12:30:00Z,0,0,0,0,0,22,0,352506,1,1,0.0,0,-30533,191,30724,55,True,0,Arsenal,Crystal Palace,DEF
Ken Sema,0,0,0,0,0.0,372,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,0,0,0,0,22,0,1402,3,0,0.0,0,-20,11,31,48,False,0,Bournemouth,Watford,MID
Jonny Evans,0,0,20,0,0.5,162,216,2,0,6.1,27.8,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,517871,2,1,33.0,1,29235,53650,24415,53,True,0,Southampton,Leicester,DEF
Jorge Luiz Frello Filho,0,1,30,1,2.3,118,213,0,1,5.7,37.8,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,231396,0,3,17.0,9,-5372,8406,13778,49,True,0,Burnley,Chelsea,MID
Kortney Hause,0,0,9,0,0.3,25,211,6,0,1.5,12.6,2020-01-12T16:30:00Z,90,0,0,0,0,22,0,4758,6,1,2.0,-1,20,161,141,44,True,0,Man City,Aston Villa,DEF
Mahmoud Ahmed Ibrahim Hassan,1,0,11,0,15.1,465,211,1,0,4.9,4.2,2020-01-12T16:30:00Z,19,0,0,0,0,22,0,88374,6,1,30.0,4,-5458,1470,6928,52,True,0,Man City,Aston Villa,MID
Kyle Walker,0,0,0,0,0.0,203,211,0,0,0.0,0.0,2020-01-12T16:30:00Z,0,0,0,0,0,22,0,849309,6,1,0.0,0,-14113,17354,31467,58,False,0,Aston Villa,Man City,DEF
Diego Rico,0,0,0,0,0.0,65,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,0,0,0,0,22,0,1017958,3,0,0.0,0,-44803,26016,70819,44,True,0,Watford,Bournemouth,DEF
Ryan Bertrand,0,0,8,0,30.3,305,216,1,0,4.7,14.2,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,48902,2,1,2.0,2,3180,5714,2534,48,False,0,Leicester,Southampton,DEF
Erik Lamela,0,0,4,0,0.5,346,219,0,0,1.6,6.6,2020-01-11T17:30:00Z,21,0,0,0,0,22,0,82657,1,0,9.0,1,-550,655,1205,57,True,0,Liverpool,Spurs,MID
Allan Saint-Maximin,0,0,0,0,0.0,500,220,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,17447,1,1,0.0,0,-1093,146,1239,54,False,0,Wolves,Newcastle,MID
Edward Nketiah,0,0,0,0,0.0,13,214,0,0,0.0,0.0,2020-01-11T12:30:00Z,0,0,0,0,0,22,0,40272,1,1,0.0,0,-916,828,1744,43,False,0,Crystal Palace,Arsenal,FWD
Callum Wilson,0,0,4,0,8.6,67,212,3,0,2.1,0.0,2020-01-12T14:00:00Z,90,0,0,0,0,22,0,343900,3,0,14.0,2,-598,12530,13128,74,True,0,Watford,Bournemouth,FWD
Antonio Rüdiger,0,0,27,1,0.8,104,213,0,0,1.5,14.4,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,21750,0,3,0.0,6,1039,2681,1642,60,True,0,Burnley,Chelsea,DEF
Sébastien Haller,0,0,-2,0,6.3,457,218,1,0,2.2,2.0,2020-01-10T20:00:00Z,90,0,0,0,0,22,0,177502,0,1,14.0,2,11341,17883,6542,70,False,0,Sheffield Utd,West Ham,FWD
Glenn Murray,0,0,-1,0,0.5,44,215,0,0,2.5,1.0,2020-01-11T15:00:00Z,18,0,0,0,0,22,0,52664,0,1,23.0,1,-1424,283,1707,55,False,0,Everton,Brighton,FWD
Arnaut Danjuma Groeneveld,0,0,0,0,0.0,492,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,0,0,0,0,22,0,2088,3,0,0.0,0,-55,10,65,58,True,0,Watford,Bournemouth,MID
José Holebas,0,0,0,0,0.0,353,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,0,0,0,0,22,0,51592,3,0,0.0,0,-98,718,816,46,False,0,Bournemouth,Watford,DEF
Yves Bissouma,0,0,0,0,0.0,53,215,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,1243,0,1,0.0,0,1,75,74,50,False,0,Everton,Brighton,MID
Connor Wickham,0,0,0,0,0.0,130,214,0,0,0.0,0.0,2020-01-11T12:30:00Z,0,0,0,0,0,22,0,162907,1,1,0.0,0,319,4314,3995,44,True,0,Arsenal,Crystal Palace,FWD
Josip Drmic,0,0,0,0,0.0,434,217,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,4216,0,4,0.0,0,-46,51,97,53,False,0,Man Utd,Norwich,FWD
Romain Saïss,0,0,12,0,1.3,407,220,1,0,2.5,23.6,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,65472,1,1,0.0,2,9729,15643,5914,44,True,0,Newcastle,Wolves,DEF
Andrew Surman,0,0,0,0,0.0,80,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,0,0,0,0,22,0,2546,3,0,0.0,0,-19,41,60,47,True,0,Watford,Bournemouth,MID
Onel Hernández,0,0,4,0,0.8,284,217,1,0,1.3,2.0,2020-01-11T15:00:00Z,25,0,0,0,0,22,0,5150,0,4,10.0,1,-216,136,352,53,False,0,Man Utd,Norwich,MID
Sofiane Boufal,0,0,0,0,0.0,508,216,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,6891,2,1,0.0,0,-312,84,396,55,False,0,Leicester,Southampton,MID
Bernardo Fernandes da Silva Junior,0,0,6,0,3.1,39,215,1,0,2.0,12.8,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,7836,0,1,4.0,2,1101,1510,409,43,False,0,Everton,Brighton,DEF
Paulo Gazzaniga,0,0,21,0,0.0,341,219,1,0,4.2,42.0,2020-01-11T17:30:00Z,90,0,0,0,0,22,5,288253,1,0,0.0,3,-37339,12165,49504,46,True,0,Liverpool,Spurs,GK
Danny Welbeck,0,0,0,0,0.0,512,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,0,0,0,0,22,0,8250,3,0,0.0,0,-64,32,96,58,False,0,Bournemouth,Watford,FWD
Ben Foster,0,0,22,1,0.0,366,212,0,0,0.6,6.0,2020-01-12T14:00:00Z,90,0,0,0,0,22,1,254868,3,0,0.0,6,43433,56262,12829,48,False,0,Bournemouth,Watford,GK
Pierre-Emile Højbjerg,0,0,6,0,1.8,325,216,1,0,2.1,10.6,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,29861,2,1,9.0,1,-231,2219,2450,48,False,1,Leicester,Southampton,MID
Lee Grant,0,0,0,0,0.0,237,217,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,7390,0,4,0.0,0,-54,36,90,48,True,0,Norwich,Man Utd,GK
Mace Goodridge,0,0,0,0,0.0,571,213,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,247,0,3,0.0,0,-2,34,36,45,False,0,Chelsea,Burnley,MID
Angelo Ogbonna,0,0,9,0,0.5,377,218,1,0,1.3,8.0,2020-01-10T20:00:00Z,90,0,0,0,0,22,0,109366,0,1,4.0,2,11104,20447,9343,45,False,0,Sheffield Utd,West Ham,DEF
Harvey Elliott,0,0,0,0,0.0,550,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,0,0,0,0,22,0,696,1,0,0.0,0,-24,54,78,45,False,0,Spurs,Liverpool,MID
Eldin Jakupovic,0,0,0,0,0.0,169,216,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,6501,2,1,0.0,0,-53,60,113,43,True,0,Southampton,Leicester,GK
Billy Sharp,0,0,0,0,1.6,298,218,0,0,0.1,0.0,2020-01-10T20:00:00Z,6,0,0,0,0,22,0,21706,0,1,0.0,1,-20,368,388,56,True,0,West Ham,Sheffield Utd,FWD
Artur Boruc,0,0,0,0,0.0,73,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,0,0,0,0,22,0,18622,3,0,0.0,0,-160,213,373,43,True,0,Watford,Bournemouth,GK
Jan Vertonghen,0,0,0,0,0.0,330,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,0,0,0,0,22,0,139573,1,0,0.0,0,-7996,4517,12513,52,True,0,Liverpool,Spurs,DEF
Felipe Anderson Pereira Gomes,0,0,14,0,29.4,390,218,1,0,5.0,12.2,2020-01-10T20:00:00Z,90,0,0,0,0,22,0,227978,0,1,8.0,2,15902,22059,6157,66,False,0,Sheffield Utd,West Ham,MID
Nick Pope,0,0,16,0,0.0,93,213,3,0,3.2,32.4,2020-01-11T15:00:00Z,90,0,0,0,0,22,5,960036,0,3,0.0,2,-82762,12408,95170,47,False,0,Chelsea,Burnley,GK
Steven Defour,0,0,0,0,0.0,99,213,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,258,0,3,0.0,0,-4,5,9,55,False,0,Chelsea,Burnley,MID
Adam Masina,0,1,30,1,5.1,355,212,0,0,3.4,24.4,2020-01-12T14:00:00Z,90,0,0,0,0,22,0,4479,3,0,4.0,7,15,130,115,43,False,0,Bournemouth,Watford,DEF
Andriy Yarmolenko,0,0,0,0,0.0,392,218,0,0,0.0,0.0,2020-01-10T20:00:00Z,0,0,0,0,0,22,0,72471,0,1,0.0,0,-8970,99,9069,53,False,0,Sheffield Utd,West Ham,MID
Phil Foden,0,0,3,0,13.3,220,211,1,0,2.3,4.2,2020-01-12T16:30:00Z,27,0,0,0,0,22,0,22953,6,1,5.0,1,268,1313,1045,51,False,0,Aston Villa,Man City,MID
Marcos Rojo,0,0,0,0,0.0,227,217,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,9401,0,4,0.0,0,-99,13,112,48,True,0,Norwich,Man Utd,DEF
Moussa Djenepo,0,0,0,0,0.3,438,216,0,0,0.0,0.0,2020-01-11T15:00:00Z,12,0,0,0,0,22,0,6018,2,1,0.0,1,-213,233,446,52,False,0,Leicester,Southampton,MID
Adam Idah,0,0,6,0,1.5,538,217,3,0,0.9,3.0,2020-01-11T15:00:00Z,64,0,0,0,0,22,0,9673,0,4,4.0,2,1470,2150,680,44,False,0,Man Utd,Norwich,FWD
Ben Davies,0,0,0,0,0.0,329,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,0,0,0,0,22,0,8778,1,0,0.0,0,-145,10,155,53,True,0,Liverpool,Spurs,DEF
Francisco Femenía Far,0,0,0,0,0.0,357,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,0,0,0,0,22,0,58110,3,0,0.0,0,-9201,4283,13484,42,False,0,Bournemouth,Watford,DEF
Matthew Longstaff,0,0,10,0,3.0,540,220,1,0,1.8,12.6,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,15397,1,1,2.0,1,-1349,576,1925,45,False,1,Wolves,Newcastle,MID
Bernardo Costa Da Rosa,0,0,0,0,0.0,595,218,0,0,0.0,0.0,2020-01-10T20:00:00Z,0,0,0,0,0,22,0,0,0,1,0.0,0,0,0,0,45,False,0,Sheffield Utd,West Ham,MID
John Fleck,1,3,33,1,40.4,301,218,0,0,8.8,28.6,2020-01-10T20:00:00Z,90,0,0,0,0,22,0,175674,0,1,19.0,9,7061,27425,20364,49,True,0,West Ham,Sheffield Utd,MID
Eric Dier,0,0,0,0,0.0,350,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,0,0,0,0,22,0,13756,1,0,0.0,0,-877,138,1015,49,True,0,Liverpool,Spurs,MID
Oleksandr Zinchenko,0,0,0,0,0.0,206,211,0,0,0.0,0.0,2020-01-12T16:30:00Z,0,0,0,0,0,22,0,187177,6,1,0.0,0,-2964,2026,4990,52,False,0,Aston Villa,Man City,DEF
Daniel Amartey,0,0,0,0,0.0,178,216,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,23347,2,1,0.0,0,-1125,496,1621,43,True,0,Southampton,Leicester,MID
Victor Wanyama,0,0,0,0,0.0,348,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,0,0,0,0,22,0,7236,1,0,0.0,0,-77,104,181,48,True,0,Liverpool,Spurs,MID
Jairo Riedewald,0,0,16,0,1.9,539,214,1,0,2.6,16.0,2020-01-11T12:30:00Z,90,0,0,0,0,22,0,1051,1,1,8.0,2,-23,78,101,45,True,0,Arsenal,Crystal Palace,MID
Gabriel Teodoro Martinelli Silva,0,0,4,0,0.6,504,214,0,0,0.4,1.4,2020-01-11T12:30:00Z,20,0,0,0,0,22,0,110248,1,1,2.0,1,-6817,3517,10334,45,False,0,Crystal Palace,Arsenal,FWD
Japhet Tanganga,0,0,20,0,0.3,583,219,1,0,2.6,26.0,2020-01-11T17:30:00Z,90,0,0,0,0,22,0,1077,1,0,0.0,2,126,249,123,40,True,0,Liverpool,Spurs,DEF
Manuel Lanzini,0,0,16,0,4.2,391,218,1,0,4.3,14.4,2020-01-10T20:00:00Z,83,0,0,0,0,22,0,52149,0,1,24.0,2,-278,641,919,62,False,0,Sheffield Utd,West Ham,MID
Wilfried Zaha,0,0,5,0,19.3,133,214,1,0,3.3,9.8,2020-01-11T12:30:00Z,90,0,0,0,0,22,0,743774,1,1,4.0,2,-113871,12063,125934,68,True,0,Arsenal,Crystal Palace,MID
Christoph Zimmermann,0,0,16,0,0.2,275,217,4,0,3.9,32.0,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,2937,0,4,7.0,0,-88,219,307,44,False,0,Man Utd,Norwich,DEF
Craig Cathcart,0,0,23,1,0.0,358,212,0,0,1.5,15.2,2020-01-12T14:00:00Z,90,0,0,0,0,22,0,143589,3,0,0.0,6,27679,36408,8729,43,False,0,Bournemouth,Watford,DEF
Beram Kayal,0,0,0,0,0.0,56,215,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,15776,0,1,0.0,0,-1445,310,1755,43,False,0,Everton,Brighton,MID
Brandon Pierrick,0,0,0,0,0.0,580,214,0,0,0.0,0.0,2020-01-11T12:30:00Z,0,0,0,0,0,22,0,170,1,1,0.0,0,16,47,31,45,True,0,Arsenal,Crystal Palace,MID
Sam Surridge,0,0,3,0,0.3,71,212,1,0,0.3,0.2,2020-01-12T14:00:00Z,15,0,0,0,0,22,0,35045,3,0,2.0,1,1330,3052,1722,43,True,0,Watford,Bournemouth,FWD
Dwight Gayle,1,0,16,0,25.2,554,220,1,0,5.2,25.2,2020-01-11T15:00:00Z,27,0,0,0,0,22,0,3353,1,1,2.0,4,-242,152,394,50,False,0,Wolves,Newcastle,FWD
Giovani Lo Celso,0,0,0,0,6.6,523,219,0,0,1.5,0.0,2020-01-11T17:30:00Z,21,0,0,0,0,22,0,18013,1,0,9.0,1,-314,233,547,73,True,0,Liverpool,Spurs,MID
Alfie Whiteman,0,0,0,0,0.0,543,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,0,0,0,0,22,0,40238,1,0,0.0,0,1637,2896,1259,40,True,0,Liverpool,Spurs,GK
Callum Hudson-Odoi,0,0,27,1,40.7,116,213,0,1,13.1,46.8,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,35298,0,3,43.0,8,-67,2883,2950,53,True,0,Burnley,Chelsea,MID
Dan Gosling,0,0,6,0,2.3,81,212,1,0,1.9,14.4,2020-01-12T14:00:00Z,58,0,0,0,0,22,0,8866,3,0,2.0,1,801,2391,1590,49,True,0,Watford,Bournemouth,MID
Dennis Srbeny,0,0,0,0,0.0,279,217,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,3101,0,4,0.0,0,-104,84,188,52,False,0,Man Utd,Norwich,FWD
Ezequiel Schelotto,0,0,0,0,0.0,546,215,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,37876,0,1,0.0,0,-1476,1619,3095,40,False,0,Everton,Brighton,DEF
Demarai Gray,0,0,3,0,0.3,175,216,1,0,2.5,5.4,2020-01-11T15:00:00Z,23,0,0,0,0,22,0,18904,2,1,19.0,1,-169,475,644,51,True,0,Southampton,Leicester,MID
Will Hughes,0,0,0,0,0.0,370,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,0,0,0,0,22,0,23822,3,0,0.0,0,-1621,25,1646,54,False,0,Bournemouth,Watford,MID
Mohamed Elneny,0,0,0,0,0.0,20,214,0,0,0.0,0.0,2020-01-11T12:30:00Z,0,0,0,0,0,22,0,49820,1,1,0.0,0,-3381,540,3921,43,False,0,Crystal Palace,Arsenal,MID
Sergio Agüero,1,3,90,0,25.3,210,211,1,3,26.5,131.0,2020-01-12T16:30:00Z,90,0,0,0,0,22,0,834190,6,1,109.0,20,42485,72414,29929,117,False,0,Aston Villa,Man City,FWD
Martín Montoya,0,0,9,0,11.7,38,215,1,0,2.4,10.0,2020-01-11T15:00:00Z,61,0,0,0,0,22,0,50036,0,1,2.0,2,2373,5822,3449,44,False,0,Everton,Brighton,DEF
Issa Diop,0,0,0,0,0.0,381,218,0,0,0.0,0.0,2020-01-10T20:00:00Z,0,0,0,0,0,22,0,158424,0,1,0.0,0,-5870,1041,6911,44,False,0,Sheffield Utd,West Ham,DEF
Pierre-Emerick Aubameyang,0,1,20,0,2.2,11,214,1,1,5.3,29.4,2020-01-11T12:30:00Z,66,0,0,0,1,22,0,1381989,1,1,21.0,4,86685,167670,80985,108,False,0,Crystal Palace,Arsenal,FWD
Alexandre Lacazette,1,0,10,0,21.9,12,214,1,0,11.6,23.8,2020-01-11T12:30:00Z,90,0,0,0,0,22,0,126913,1,1,70.0,4,11050,16086,5036,93,False,1,Crystal Palace,Arsenal,FWD
Maya Yoshida,0,0,0,0,0.0,310,216,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,19172,2,1,0.0,0,-231,323,554,42,False,0,Leicester,Southampton,DEF
Leandro Trossard,0,0,8,0,16.7,421,215,1,0,4.2,12.4,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,25116,0,1,13.0,2,-624,2259,2883,58,False,0,Everton,Brighton,MID
Scott McTominay,0,0,0,0,0.0,248,217,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,93005,0,4,0.0,0,-21543,127,21670,50,True,0,Norwich,Man Utd,MID
Asmir Begovic,0,0,0,0,0.0,72,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,0,0,0,0,22,0,57322,3,0,0.0,0,-858,145,1003,42,True,0,Watford,Bournemouth,GK
Chris Smalling,0,0,0,0,0.0,223,217,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,9127,0,4,0.0,0,-49,31,80,52,True,0,Norwich,Man Utd,DEF
Alireza Jahanbakhsh,0,0,3,0,2.5,50,215,1,0,0.7,0.6,2020-01-11T15:00:00Z,61,0,0,0,0,22,0,10763,0,1,4.0,2,4848,5759,911,58,False,0,Everton,Brighton,MID
Leon Balogun,0,0,0,0,0.0,40,215,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,4029,0,1,0.0,0,-28,62,90,44,False,0,Everton,Brighton,DEF
Danny Ings,0,0,22,0,11.4,313,216,1,1,15.7,42.8,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,1544123,2,1,103.0,5,291155,348474,57319,67,False,1,Leicester,Southampton,FWD
Reece James,1,2,35,1,46.9,506,213,0,0,11.1,36.0,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,19350,0,3,28.0,11,1262,2895,1633,50,True,0,Burnley,Chelsea,DEF
Nathaniel Chalobah,0,0,10,1,20.3,374,212,0,0,3.3,12.0,2020-01-12T14:00:00Z,90,0,0,0,0,22,0,15885,3,0,1.0,3,-438,673,1111,44,False,0,Bournemouth,Watford,MID
Rui Pedro dos Santos Patrício,0,0,7,0,0.0,411,220,1,0,0.2,1.8,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,766518,1,1,0.0,2,-10767,20326,31093,52,True,0,Newcastle,Wolves,GK
Sebastian Prödl,0,0,0,0,0.0,361,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,0,0,0,0,22,0,80068,3,0,0.0,0,-2823,97,2920,40,False,0,Bournemouth,Watford,DEF
Marco Stiepermann,0,0,0,0,0.0,285,217,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,5010,0,4,0.0,0,-110,46,156,51,False,0,Man Utd,Norwich,MID
Ben Johnson,0,0,0,0,0.0,384,218,0,0,0.0,0.0,2020-01-10T20:00:00Z,0,0,0,0,0,22,0,94957,0,1,0.0,0,1710,4232,2522,39,False,0,Sheffield Utd,West Ham,DEF
Reiss Nelson,0,0,2,0,0.0,489,214,0,0,0.1,1.2,2020-01-11T12:30:00Z,1,0,0,0,0,22,0,8981,1,1,0.0,1,167,894,727,53,False,0,Crystal Palace,Arsenal,MID
Nampalys Mendy,0,0,0,0,0.0,179,216,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,75678,2,1,0.0,0,-3633,2026,5659,43,True,0,Southampton,Leicester,MID
Diogo Jota,0,0,0,0,0.0,410,220,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,0,0,0,0,22,0,214335,1,1,0.0,0,-17333,2822,20155,61,True,0,Newcastle,Wolves,FWD
Joshua King,0,0,0,0,0.0,68,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,0,0,0,0,22,0,262523,3,0,0.0,0,-15594,177,15771,61,True,0,Watford,Bournemouth,FWD
James Ward-Prowse,0,0,7,0,5.7,321,216,1,0,2.2,8.6,2020-01-11T15:00:00Z,90,0,0,0,0,22,0,129072,2,1,8.0,2,-17883,5332,23215,59,False,0,Leicester,Southampton,MID
Scott Dann,0,0,0,0,0.0,127,214,0,0,0.0,0.0,2020-01-11T12:30:00Z,0,0,0,0,0,22,0,11019,1,1,0.0,0,-481,22,503,43,True,0,Arsenal,Crystal Palace,DEF
Kepa Arrizabalaga,0,0,21,1,0.0,111,213,0,0,0.8,7.6,2020-01-11T15:00:00Z,90,0,0,0,0,22,1,377245,0,3,0.0,6,-3974,7561,11535,55,True,0,Burnley,Chelsea,GK
Roberto Jimenez Gago,0,0,0,0,0.0,450,218,0,0,0.0,0.0,2020-01-10T20:00:00Z,0,0,0,0,0,22,0,30706,0,1,0.0,0,-1583,615,2198,44,False,0,Sheffield Utd,West Ham,GK
Christian Eriksen,0,0,13,0,49.7,343,219,1,0,8.1,24.0,2020-01-11T17:30:00Z,68,0,0,0,0,22,0,201511,1,0,7.0,2,-4914,1178,6092,86,True,0,Liverpool,Spurs,MID
Harry Kane,0,0,0,0,0.0,338,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,0,0,0,0,22,0,829756,1,0,0.0,0,-653765,2563,656328,109,True,0,Liverpool,Spurs,FWD
Dale Stephens,0,0,9,0,6.7,57,215,1,0,1.1,2.8,2020-01-11T15:00:00Z,71,0,0,0,0,22,0,153094,0,1,1.0,2,-7051,2170,9221,44,False,0,Everton,Brighton,MID
Nicolás Otamendi,0,0,6,0,0.6,208,211,1,0,0.8,7.2,2020-01-12T16:30:00Z,27,0,0,0,0,22,0,170632,6,1,0.0,1,-20542,4300,24842,50,False,0,Aston Villa,Man City,DEF
Keinan Davis,0,0,0,0,0.0,34,211,0,0,0.0,0.0,2020-01-12T16:30:00Z,0,0,0,0,0,22,0,17436,6,1,0.0,0,-612,326,938,43,True,0,Man City,Aston Villa,MID
