name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP
Lys Mousset,0,0,0,0,0.0,70,2,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,25874,1,1,0,0,0,0,0,50,False,0,Bournemouth,Sheffield Utd,FWD,0
Maarten Stekelenburg,0,0,0,0,0.0,149,4,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,471674,0,0,0,0,0,0,0,40,False,0,Crystal Palace,Everton,GK,0
Mahmoud Ahmed Ibrahim Hassan,0,0,4,0,14.4,465,6,0,0,6.6,16.4,2019-08-10T16:30:00Z,58,0,0,0,0,1,0,149330,1,3,35,1,0,0,0,55,False,0,Spurs,Aston Villa,MID,0
Mamadou Sakho,0,0,0,0,0.0,125,4,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,5794,0,0,0,0,0,0,0,50,True,0,Everton,Crystal Palace,DEF,0
Manuel Lanzini,0,0,16,0,6.8,391,8,5,0,4.2,10.4,2019-08-10T11:30:00Z,90,0,0,0,0,1,0,58508,5,0,25,2,0,0,0,65,True,0,Man City,West Ham,MID,0
Marcos Alonso,0,0,0,0,0.0,103,9,0,0,0.0,0.0,2019-08-11T15:30:00Z,0,0,0,0,0,1,0,267531,0,4,0,0,0,0,0,65,False,0,Man Utd,Chelsea,DEF,0
Marcos Rojo,0,0,0,0,0.0,227,9,0,0,0.0,0.0,2019-08-11T15:30:00Z,0,0,0,0,0,1,0,8821,0,4,0,0,0,0,0,50,True,0,Chelsea,Man Utd,DEF,0
Marco Stiepermann,0,0,1,0,0.4,285,1,4,0,2.1,1.6,2019-08-09T19:00:00Z,57,0,0,0,0,1,0,6865,1,4,19,1,0,0,0,55,False,0,Liverpool,Norwich,MID,0
Marcus Rashford,0,3,53,1,1.9,233,9,0,2,13.2,71.8,2019-08-11T15:30:00Z,85,0,0,0,0,1,0,931252,0,4,58,13,0,0,0,85,True,0,Chelsea,Man Utd,FWD,0
Marc Albrighton,0,0,2,0,15.1,174,5,0,0,2.8,2.2,2019-08-11T13:00:00Z,14,0,0,0,0,1,0,17934,0,0,11,1,0,0,0,55,True,0,Wolves,Leicester,MID,0
Marc Navarro,0,0,0,0,0.0,360,7,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,8515,3,0,0,0,0,0,0,40,True,0,Brighton,Watford,DEF,0
Mario Lemina,0,0,0,0,0.0,324,3,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,10698,0,3,0,0,0,0,0,50,False,0,Burnley,Southampton,MID,0
Mario Vrancic,0,0,0,0,0.0,282,1,0,0,0.0,0.0,2019-08-09T19:00:00Z,0,0,0,0,0,1,0,12512,1,4,0,0,0,0,0,65,False,0,Liverpool,Norwich,MID,0
Marko Arnautovic,0,0,0,0,0.0,385,8,0,0,0.0,0.0,2019-08-10T11:30:00Z,0,0,0,0,0,1,0,10496,5,0,0,0,0,0,0,70,True,0,Man City,West Ham,FWD,0
Mark Duffy,0,0,0,0,0.0,300,2,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,6067,1,1,0,0,0,0,0,55,False,0,Bournemouth,Sheffield Utd,MID,0
Mark Noble,0,0,0,0,0.0,396,8,0,0,0.0,0.0,2019-08-10T11:30:00Z,0,0,0,0,0,1,0,26530,5,0,0,0,0,0,0,50,True,0,Man City,West Ham,MID,0
Mark Travers,0,0,0,0,0.0,74,2,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,16650,1,1,0,0,0,0,0,45,True,0,Sheffield Utd,Bournemouth,GK,0
Martin Dubravka,0,0,9,0,0.0,262,10,1,0,1.1,11.0,2019-08-11T13:00:00Z,90,0,0,0,0,1,1,56134,1,0,0,2,0,0,0,50,True,0,Arsenal,Newcastle,GK,0
Martin Kelly,0,0,24,1,0.0,128,4,0,0,2.6,25.8,2019-08-10T14:00:00Z,90,0,0,0,0,1,0,1343781,0,0,0,6,0,0,0,40,True,0,Everton,Crystal Palace,DEF,0
Martín Montoya,0,0,21,1,12.6,38,7,0,0,2.8,13.0,2019-08-10T14:00:00Z,90,0,0,0,0,1,0,33714,3,0,2,6,0,0,0,45,False,0,Watford,Brighton,DEF,0
Marvelous Nakamba,0,0,0,0,0.0,491,6,0,0,0.0,0.0,2019-08-10T16:30:00Z,0,0,0,0,0,1,0,12791,1,3,0,0,0,0,0,45,False,0,Spurs,Aston Villa,MID,0
Mason Greenwood,0,0,3,0,0.6,234,9,0,0,1.9,0.0,2019-08-11T15:30:00Z,4,0,0,0,0,1,0,958114,0,4,18,1,0,0,0,45,True,0,Chelsea,Man Utd,FWD,0
Mason Holgate,0,0,0,0,0.0,478,4,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,8985,0,0,0,0,0,0,0,45,False,0,Crystal Palace,Everton,DEF,0
Mason Mount,0,0,15,0,51.8,463,9,4,0,9.7,25.0,2019-08-11T15:30:00Z,90,0,0,0,0,1,0,47474,0,4,20,2,0,0,0,60,False,0,Man Utd,Chelsea,MID,0
Matej Vydra,0,0,0,0,0.0,92,3,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,0,0,0,0,1,0,4450,0,3,0,0,0,0,0,55,True,0,Southampton,Burnley,FWD,0
Mateo Kovacic,0,0,22,0,26.3,432,9,4,0,4.4,17.2,2019-08-11T15:30:00Z,90,0,0,0,0,1,0,49783,0,4,0,2,0,0,0,55,False,0,Man Utd,Chelsea,MID,0
Mat Ryan,0,2,29,1,0.0,47,7,0,0,2.5,25.4,2019-08-10T14:00:00Z,90,0,0,0,0,1,3,709131,3,0,0,9,0,0,0,45,False,0,Watford,Brighton,GK,0
Matteo Darmian,0,0,0,0,0.0,230,9,0,0,0.0,0.0,2019-08-11T15:30:00Z,0,0,0,0,0,1,0,5497,0,4,0,0,0,0,0,50,True,0,Chelsea,Man Utd,DEF,0
