name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position
Joel Ward,0,0,0,0,0.0,126,164,0,0,0.0,0.0,2019-12-16T19:45:00Z,0,0,0,0,0,17,0,112770,1,1,0.0,0,-18378,73,18451,44,True,0,Brighton,Crystal Palace,DEF
Max Meyer,0,0,3,0,0.8,136,164,0,0,0.6,3.8,2019-12-16T19:45:00Z,23,0,0,0,0,17,0,5987,1,1,1.0,1,-208,6,214,52,True,0,Brighton,Crystal Palace,MID
Riyad Mahrez,0,0,1,0,3.7,217,161,0,0,2.5,4.0,2019-12-15T16:30:00Z,20,0,0,0,0,17,0,249079,3,0,17.0,1,-6086,10071,16157,83,False,0,Arsenal,Man City,MID
Alexis Sánchez,0,0,0,0,0.0,240,167,0,0,0.0,0.0,2019-12-15T14:00:00Z,0,0,0,0,0,17,0,28991,1,1,0.0,0,-127,45,172,68,True,0,Everton,Man Utd,MID
Craig Dawson,0,0,0,0,0.0,439,166,0,0,0.0,0.0,2019-12-14T12:30:00Z,0,0,0,0,0,17,0,10887,0,2,0.0,0,-472,46,518,48,False,0,Liverpool,Watford,DEF
Edward Nketiah,0,0,0,0,0.0,13,161,0,0,0.0,0.0,2019-12-15T16:30:00Z,0,0,0,0,0,17,0,45116,3,0,0.0,0,-1857,786,2643,43,True,0,Man City,Arsenal,FWD
Reiss Nelson,0,0,0,0,0.0,489,161,0,0,0.0,0.0,2019-12-15T16:30:00Z,0,0,0,0,0,17,0,7057,3,0,0.0,0,-59,65,124,53,True,0,Man City,Arsenal,MID
Mark Travers,0,0,0,0,0.0,74,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,11444,1,0,0.0,0,-191,21,212,43,False,0,Chelsea,Bournemouth,GK
Nathan Redmond,0,0,0,0,1.8,320,169,1,0,0.1,0.0,2019-12-14T17:30:00Z,45,0,0,0,0,17,0,42645,1,0,0.0,1,-970,794,1764,62,True,0,West Ham,Southampton,MID
Divock Origi,1,0,15,0,10.0,188,166,0,0,2.9,15.0,2019-12-14T12:30:00Z,2,0,0,0,0,17,0,208310,0,2,4.0,4,2140,13407,11267,52,True,0,Watford,Liverpool,FWD
Frédéric Guilbert,0,0,14,0,1.6,458,168,2,0,2.8,26.2,2019-12-14T15:00:00Z,90,0,0,0,0,17,0,57783,0,2,0.0,1,-268,2623,2891,44,False,0,Sheffield Utd,Aston Villa,DEF
Albian Ajeti,0,0,0,0,0.0,514,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,0,0,0,0,17,0,2558,1,0,0.0,0,-26,66,92,58,False,0,Southampton,West Ham,FWD
Neil Taylor,0,0,0,0,0.0,24,168,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,18047,0,2,0.0,0,-400,261,661,44,False,0,Sheffield Utd,Aston Villa,DEF
Harry Kane,0,0,10,0,12.1,338,170,1,0,5.5,15.4,2019-12-15T14:00:00Z,90,0,0,0,0,17,0,1378160,2,1,27.0,1,85909,123021,37112,109,False,1,Wolves,Spurs,FWD
Ryan Bennett,0,0,0,0,0.0,404,170,0,0,0.0,0.0,2019-12-15T14:00:00Z,0,0,0,0,0,17,0,23247,2,1,0.0,0,-445,330,775,49,True,0,Spurs,Leicester,DEF
Emiliano Martínez,0,0,0,0,0.0,427,161,0,0,0.0,0.0,2019-12-15T16:30:00Z,0,0,0,0,0,17,0,18100,3,0,0.0,0,-153,157,310,43,True,0,Man City,Arsenal,GK
Daniel N'Lundulu,0,0,0,0,0.0,535,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,0,0,0,0,17,0,6843,1,0,0.0,0,-151,155,306,45,True,0,West Ham,Southampton,FWD
Andy Lonergan,0,0,0,0,0.0,530,166,0,0,0.0,0.0,2019-12-14T12:30:00Z,0,0,0,0,0,17,0,1741,0,2,0.0,0,-25,20,45,43,True,0,Watford,Liverpool,GK
Nampalys Mendy,0,0,0,0,0.0,179,165,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,74489,1,1,0.0,0,1728,8035,6307,43,True,0,Norwich,Leicester,MID
Dennis Praet,0,0,14,0,27.9,517,165,1,0,4.1,13.2,2019-12-14T15:00:00Z,45,0,0,0,0,17,0,4414,1,1,0.0,1,160,301,141,53,True,0,Norwich,Leicester,MID
Fabio Henrique Tavares,0,0,0,0,0.0,197,166,0,0,0.0,0.0,2019-12-14T12:30:00Z,0,0,0,0,0,17,0,79006,0,2,0.0,0,-5114,159,5273,55,True,0,Watford,Liverpool,MID
Trent Alexander-Arnold,0,0,21,1,18.8,182,166,0,0,3.0,11.4,2019-12-14T12:30:00Z,90,0,0,0,0,17,0,2204248,0,2,0.0,6,-25780,38528,64308,73,True,0,Watford,Liverpool,DEF
Robert Kenedy Nunes do Nascimento,0,0,0,0,0.0,462,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,0,0,0,0,17,0,2479,1,0,0.0,0,-29,15,44,53,True,0,Bournemouth,Chelsea,MID
Rúben Gonçalo Silva Nascimento Vinagre,0,0,0,0,0.0,406,170,0,0,0.0,0.0,2019-12-15T14:00:00Z,0,0,0,0,0,17,0,14773,2,1,0.0,0,328,759,431,42,True,0,Spurs,Wolves,DEF
Oliver Norwood,0,0,17,1,25.0,302,168,0,0,4.1,15.6,2019-12-14T15:00:00Z,85,0,0,0,0,17,0,21293,0,2,0.0,2,-996,611,1607,49,True,1,Aston Villa,Sheffield Utd,MID
Luke Amos,0,0,0,0,0.0,351,170,0,0,0.0,0.0,2019-12-15T14:00:00Z,0,0,0,0,0,17,0,1040,2,1,0.0,0,37,69,32,45,False,0,Wolves,Spurs,MID
Patrick van Aanholt,0,0,0,0,0.0,123,164,0,0,0.0,0.0,2019-12-16T19:45:00Z,0,0,0,0,0,17,0,475035,1,1,0.0,0,-132994,358,133352,55,True,0,Brighton,Crystal Palace,DEF
Yoshinori Muto,0,0,3,0,0.8,260,162,0,0,0.5,4.2,2019-12-14T15:00:00Z,10,0,0,0,0,17,0,6539,0,1,0.0,1,-129,88,217,52,False,0,Burnley,Newcastle,FWD
Andriy Yarmolenko,0,0,0,0,0.4,392,169,0,0,0.2,0.0,2019-12-14T17:30:00Z,17,0,0,0,0,17,0,117350,1,0,4.0,1,-30644,689,31333,55,False,0,Southampton,West Ham,MID
