name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Artur_Boruc_73,0,0,0,0,0,73,310,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,18494,0,1,0,0,-97,154,251,42,FALSE,0,Wolves
Ashley_Barnes_90,0,0,0,0,0,90,301,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,160316,0,1,0,0,-860,51,911,61,TRUE,0,Watford
Ashley_Westwood_101,0,0,14,1,24,101,301,0,0,3.6,12.2,2020-06-25T17:00:00Z,90,0,0,0,0,31,0,49803,0,1,0,3,-1092,1535,2627,55,TRUE,0,Watford
Ashley_Young_224,0,0,0,0,0,224,305,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,21942,0,3,0,0,-112,18,130,54,TRUE,0,Sheffield Utd
Asmir_Begovic_72,0,0,0,0,0,72,310,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,51772,0,1,0,0,-259,31,290,42,FALSE,0,Wolves
Axel_Tuanzebe_481,0,0,0,0,0,481,305,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,7431,0,3,0,0,-113,9,122,44,TRUE,0,Sheffield Utd
Aymeric_Laporte_202,0,0,15,0,12.8,202,302,1,0,3.1,14.6,2020-06-25T19:15:00Z,73,0,0,0,0,31,0,244402,1,2,4,2,-11855,11897,23752,63,FALSE,0,Chelsea
Ayotomiwa_Dele-Bashiru_563,0,0,0,0,0,563,301,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,883,0,1,0,0,-29,22,51,45,FALSE,0,Burnley
Ayoze_Pérez_265,0,0,1,0,0.5,265,303,0,0,0.4,0,2020-06-23T17:00:00Z,17,0,0,0,0,31,0,439797,0,0,4,1,-19055,4419,23474,62,TRUE,0,Brighton
Bailey_Peacock-Farrell_495,0,0,0,0,0,495,301,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,5796,0,1,0,0,51,158,107,43,TRUE,0,Watford
Bamidele_Alli_344,0,0,0,0,15.8,344,309,0,0,2.5,3,2020-06-23T19:15:00Z,58,0,0,0,0,31,0,262446,0,2,6,1,-5843,11775,17618,83,TRUE,0,West Ham
Beni_Baningime_557,0,0,0,0,0,557,307,0,0,0,0,2020-06-24T17:00:00Z,0,0,0,0,0,31,0,966,1,0,0,0,2,75,73,45,FALSE,0,Norwich
Benjamin_Chilwell_161,0,2,26,1,23.6,161,303,0,0,4.5,13.6,2020-06-23T17:00:00Z,90,0,0,0,0,31,0,722971,0,0,8,8,64386,73210,8824,55,TRUE,0,Brighton
Benjamin_Mendy_204,0,0,4,0,25.1,204,302,1,0,3.9,0.6,2020-06-25T19:15:00Z,58,0,0,0,0,31,0,99077,1,2,13,1,-971,6961,7932,55,FALSE,0,Chelsea
Ben_Davies_329,0,2,25,1,21.6,329,309,0,0,4.1,17.6,2020-06-23T19:15:00Z,90,0,0,0,0,31,0,11176,0,2,2,7,1069,1390,321,53,TRUE,1,West Ham
Ben_Foster_366,0,0,16,0,0,366,301,1,0,2.7,27,2020-06-25T17:00:00Z,90,0,0,0,0,31,3,284959,0,1,0,3,10380,17902,7522,49,FALSE,0,Burnley
Ben_Gibson_89,0,0,0,0,0,89,301,0,0,0,0,2020-06-25T17:00:00Z,0,0,0,0,0,31,0,171545,0,1,0,0,-1300,1069,2369,39,TRUE,0,Watford
Ben_Godfrey_273,0,0,13,0,0.8,273,307,1,0,1.6,14.8,2020-06-24T17:00:00Z,90,0,0,0,0,31,0,11574,1,0,0,2,-2,196,198,44,TRUE,0,Everton
