name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position,xP,season
Adam Masina,0,0,18,1,12.2,355,99,0,0,1.8,5.4,2019-10-26T14:00:00Z,72,0,0,0,0,10,0,4220,0,0,0.0,6,-44,42,86,43,True,0,Bournemouth,Watford,DEF,0,2019-20
Adam Smith,0,0,25,1,3.3,63,99,0,0,2.4,20.4,2019-10-26T14:00:00Z,90,0,0,0,0,10,0,32122,0,0,0.0,6,692,1231,539,43,False,0,Watford,Bournemouth,DEF,0,2019-20
Adam Webster,0,0,13,0,2.4,493,92,2,0,1.3,10.8,2019-10-26T14:00:00Z,90,1,0,0,0,10,0,17848,2,3,0.0,-1,5087,6033,946,44,True,0,Everton,Brighton,DEF,0,2019-20
Addji Keaninkin Marc-Israel Guehi,0,0,0,0,0.0,545,93,0,0,0.0,0.0,2019-10-26T16:30:00Z,0,0,0,0,0,10,0,3603,4,2,0.0,0,211,492,281,40,False,0,Burnley,Chelsea,DEF,0,2019-20
Ademola Lookman,0,0,0,0,0.0,155,92,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,456,2,3,0.0,0,-3,5,8,50,False,0,Brighton,Everton,MID,0,2019-20
Adrian Mariappa,0,0,0,0,0.0,356,99,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,10593,0,0,0.0,0,-262,64,326,43,True,0,Bournemouth,Watford,DEF,0,2019-20
Adrián,0,0,0,0,0.0,526,94,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,303118,1,2,0.0,0,-106197,1526,107723,45,True,0,Spurs,Liverpool,GK,0,2019-20
Ahmed Elmohamady,0,0,0,0,0.0,22,95,0,0,0.0,0.0,2019-10-26T11:30:00Z,0,0,0,0,0,10,0,71048,0,3,0.0,0,-3748,445,4193,43,False,0,Man City,Aston Villa,DEF,0,2019-20
Ainsley Maitland-Niles,0,0,0,0,0.0,4,91,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,297254,2,2,0.0,0,-34413,850,35263,49,True,0,Crystal Palace,Arsenal,DEF,0,2019-20
Akin Famewo,0,0,0,0,0.0,552,97,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,2016,3,1,0.0,0,276,471,195,40,True,0,Man Utd,Norwich,DEF,0,2019-20
Albian Ajeti,0,0,2,0,0.0,514,100,0,0,0.0,0.0,2019-10-26T14:00:00Z,4,0,0,0,0,10,0,2554,1,1,0.0,1,-11,64,75,58,True,0,Sheffield Utd,West Ham,FWD,0,2019-20
Alexander Tettey,0,0,18,0,2.4,289,97,3,0,2.6,23.4,2019-10-27T16:30:00Z,90,0,0,0,0,10,0,11887,3,1,0.0,2,27,226,199,45,True,0,Man Utd,Norwich,MID,0,2019-20
Alexandre Nascimento Costa Silva,0,0,0,0,0.0,387,100,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,81967,1,1,0.0,0,-614,2344,2958,44,True,0,Sheffield Utd,West Ham,FWD,0,2019-20
Alexandre Lacazette,1,0,8,0,16.2,12,91,2,0,8.9,4.8,2019-10-27T16:30:00Z,90,0,0,0,0,10,0,106371,2,2,68.0,5,5241,6816,1575,93,True,0,Crystal Palace,Arsenal,FWD,0,2019-20
Alexis Sánchez,0,0,0,0,0.0,240,97,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,30075,3,1,0.0,0,-258,33,291,68,False,0,Norwich,Man Utd,MID,0,2019-20
Alex Iwobi,0,0,8,0,4.5,17,92,1,0,4.4,12.8,2019-10-26T14:00:00Z,71,0,0,0,0,10,0,103669,2,3,27.0,2,-1995,3064,5059,58,False,0,Brighton,Everton,MID,0,2019-20
Alex McCarthy,0,0,0,0,0.0,318,98,0,0,0.0,0.0,2019-10-25T19:00:00Z,0,0,0,0,0,10,0,28024,9,0,0.0,0,-402,225,627,43,True,0,Leicester,Southampton,GK,0,2019-20
Alex Oxlade-Chamberlain,0,0,0,0,0.0,193,94,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,26410,1,2,0.0,0,4296,5052,756,62,True,0,Spurs,Liverpool,MID,0,2019-20
Alfie Whiteman,0,0,0,0,0.0,543,94,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,21172,1,2,0.0,0,720,1398,678,40,False,0,Liverpool,Spurs,GK,0,2019-20
Alireza Jahanbakhsh,0,0,0,0,0.0,50,92,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,4413,2,3,0.0,0,-45,29,74,58,True,0,Everton,Brighton,MID,0,2019-20
Alisson,0,0,17,0,0.0,189,94,1,0,2.5,25.2,2019-10-27T16:30:00Z,90,0,0,0,0,10,3,460728,1,2,0.0,3,42896,47380,4484,58,True,0,Spurs,Liverpool,GK,0,2019-20
Allan Saint-Maximin,0,0,8,0,15.7,500,96,1,0,7.2,10.2,2019-10-27T14:00:00Z,89,0,0,0,0,10,0,20015,1,1,46.0,2,2658,3327,669,54,True,0,Wolves,Newcastle,MID,0,2019-20
Andreas Christensen,0,0,0,0,0.0,108,93,0,0,0.0,0.0,2019-10-26T16:30:00Z,0,0,0,0,0,10,0,50515,4,2,0.0,0,-6352,29,6381,50,False,0,Burnley,Chelsea,DEF,0,2019-20
Andreas Pereira,0,0,7,1,45.5,246,97,0,0,5.6,4.4,2019-10-27T16:30:00Z,81,0,0,0,0,10,0,31607,3,1,6.0,3,839,2391,1552,50,False,0,Norwich,Man Utd,MID,0,2019-20
Andrew Robertson,0,0,25,0,32.0,181,94,1,0,7.0,21.8,2019-10-27T16:30:00Z,90,0,0,0,0,10,0,1362420,1,2,16.0,2,23000,56224,33224,69,True,0,Spurs,Liverpool,DEF,0,2019-20
Andrew Surman,0,0,0,0,0.0,80,99,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,2998,0,0,0.0,0,-41,43,84,48,False,0,Watford,Bournemouth,MID,0,2019-20
Andre Gray,0,0,6,0,12.4,364,99,0,0,2.0,5.2,2019-10-26T14:00:00Z,33,0,0,0,0,10,0,31552,0,0,2.0,1,-796,797,1593,57,True,0,Bournemouth,Watford,FWD,0,2019-20
Andre Green,0,0,0,0,0.0,32,95,0,0,0.0,0.0,2019-10-26T11:30:00Z,0,0,0,0,0,10,0,793,0,3,0.0,0,-10,12,22,49,False,0,Man City,Aston Villa,MID,0,2019-20
Andriy Yarmolenko,1,3,30,0,48.6,392,100,1,0,10.9,24.4,2019-10-26T14:00:00Z,90,0,0,0,0,10,0,408125,1,1,36.0,8,-27431,27921,55352,60,True,0,Sheffield Utd,West Ham,MID,0,2019-20
Andros Townsend,0,0,7,0,22.4,135,91,2,0,3.6,9.4,2019-10-27T16:30:00Z,90,0,0,0,0,10,0,104992,2,2,4.0,2,-3551,576,4127,57,False,0,Arsenal,Crystal Palace,MID,0,2019-20
André Gomes,0,0,11,0,4.1,422,92,3,0,0.6,2.0,2019-10-26T14:00:00Z,90,0,0,0,0,10,0,29002,2,3,0.0,2,198,688,490,53,False,0,Brighton,Everton,MID,0,2019-20
Andy Carroll,0,0,0,0,0.0,520,96,0,0,0.0,0.0,2019-10-27T14:00:00Z,0,0,0,0,0,10,0,7409,1,1,0.0,0,-390,318,708,54,True,0,Wolves,Newcastle,FWD,0,2019-20
Andy King,0,0,0,0,0.0,480,98,0,0,0.0,0.0,2019-10-25T19:00:00Z,0,0,0,0,0,10,0,22790,9,0,0.0,0,1916,2950,1034,43,False,0,Southampton,Leicester,MID,0,2019-20
Andy Lonergan,0,0,0,0,0.0,530,94,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,1661,1,2,0.0,0,-35,14,49,44,True,0,Spurs,Liverpool,GK,0,2019-20
Angelo Ogbonna,0,0,0,0,0.0,377,100,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,34451,1,1,0.0,0,168,1259,1091,45,True,0,Sheffield Utd,West Ham,DEF,0,2019-20
Angel Gomes,0,0,0,0,0.0,245,97,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,6765,3,1,0.0,0,-7,190,197,48,False,0,Norwich,Man Utd,MID,0,2019-20
Angus Gunn,0,0,22,0,0.0,319,98,9,0,4.7,46.8,2019-10-25T19:00:00Z,90,0,0,0,0,10,6,228331,9,0,0.0,0,-6103,2545,8648,45,True,0,Leicester,Southampton,GK,0,2019-20
Anthony Knockaert,0,0,0,0,0.0,52,92,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,671,2,3,0.0,0,4,10,6,54,True,0,Everton,Brighton,MID,0,2019-20
Anthony Martial,0,0,6,1,16.8,239,97,0,1,17.0,47.0,2019-10-27T16:30:00Z,74,0,1,0,0,10,0,261598,3,1,106.0,6,50287,55030,4743,75,False,0,Norwich,Man Utd,MID,0,2019-20
Antonio Rüdiger,0,0,0,0,0.0,104,93,0,0,0.0,0.0,2019-10-26T16:30:00Z,0,0,0,0,0,10,0,6868,4,2,0.0,0,-174,44,218,60,False,0,Burnley,Chelsea,DEF,0,2019-20
Anwar El Ghazi,0,0,3,0,0.3,30,95,0,0,0.0,0.0,2019-10-26T11:30:00Z,6,0,0,0,0,10,0,123243,0,3,0.0,1,-2302,13740,16042,55,False,0,Man City,Aston Villa,MID,0,2019-20
Archie Mair,0,0,0,0,0.0,551,97,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,1134,3,1,0.0,0,221,301,80,40,True,0,Man Utd,Norwich,GK,0,2019-20
Arnaut Danjuma,0,0,1,1,13.1,492,99,0,0,4.2,7.4,2019-10-26T14:00:00Z,60,0,0,0,0,10,0,1888,0,0,21.0,3,7,49,42,58,False,0,Watford,Bournemouth,MID,0,2019-20
Arthur Masuaku,0,0,0,0,0.0,378,100,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,56744,1,1,0.0,0,-1490,1100,2590,45,True,0,Sheffield Utd,West Ham,DEF,0,2019-20
Artur Boruc,0,0,0,0,0.0,73,99,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,20725,0,0,0.0,0,-312,176,488,44,False,0,Watford,Bournemouth,GK,0,2019-20
Ashley Barnes,0,0,-6,0,11.3,90,93,4,0,4.7,0.0,2019-10-26T16:30:00Z,62,0,0,0,0,10,0,291696,4,2,37.0,2,-57882,765,58647,64,True,0,Chelsea,Burnley,FWD,0,2019-20
Ashley Westwood,0,0,12,0,3.2,101,93,4,0,3.3,9.6,2019-10-26T16:30:00Z,90,0,0,0,0,10,0,34285,4,2,20.0,2,-819,1115,1934,54,True,0,Chelsea,Burnley,MID,0,2019-20
Ashley Young,0,0,9,0,16.8,224,97,1,0,2.4,6.8,2019-10-27T16:30:00Z,90,0,0,0,0,10,0,27601,3,1,0.0,1,484,1341,857,54,False,1,Norwich,Man Utd,DEF,0,2019-20
Asmir Begovic,0,0,0,0,0.0,72,99,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,76438,0,0,0.0,0,-2620,56,2676,43,False,0,Watford,Bournemouth,GK,0,2019-20
Axel Tuanzebe,0,0,0,0,0.0,481,97,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,11108,3,1,0.0,0,-572,430,1002,44,False,0,Norwich,Man Utd,DEF,0,2019-20
Aymeric Laporte,0,0,0,0,0.0,202,95,0,0,0.0,0.0,2019-10-26T11:30:00Z,0,0,0,0,0,10,0,157104,0,3,0.0,0,-2785,275,3060,63,True,0,Aston Villa,Man City,DEF,0,2019-20
Ayoze Pérez,0,2,70,1,15.6,265,98,0,3,26.2,117.8,2019-10-25T19:00:00Z,73,0,0,0,0,10,0,217204,9,0,129.0,20,-6933,2128,9061,60,False,0,Southampton,Leicester,MID,0,2019-20
Bailey Peacock-Farrell,0,0,0,0,0.0,495,93,0,0,0.0,0.0,2019-10-26T16:30:00Z,0,0,0,0,0,10,0,5573,4,2,0.0,0,-67,23,90,44,True,0,Chelsea,Burnley,GK,0,2019-20
Dele Alli,0,0,4,0,2.3,344,94,2,0,2.6,10.4,2019-10-27T16:30:00Z,90,0,0,0,0,10,0,33781,1,2,13.0,2,1783,2836,1053,84,False,0,Liverpool,Spurs,MID,0,2019-20
Beni Baningime,0,0,0,0,0.0,557,92,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,73,2,3,0.0,0,36,42,6,45,False,0,Brighton,Everton,MID,0,2019-20
Ben Chilwell,2,1,64,1,76.8,161,98,0,1,18.7,87.2,2019-10-25T19:00:00Z,90,0,0,0,0,10,0,317583,9,0,23.0,19,12440,19613,7173,54,False,0,Southampton,Leicester,DEF,0,2019-20
Benjamin Mendy,0,0,27,1,7.8,204,95,0,0,5.9,11.6,2019-10-26T11:30:00Z,72,0,0,0,0,10,0,64908,0,3,40.0,6,35918,37565,1647,59,True,0,Aston Villa,Man City,DEF,0,2019-20
Ben Davies,0,0,0,0,0.0,329,94,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,10642,1,2,0.0,0,-271,121,392,54,False,0,Liverpool,Spurs,DEF,0,2019-20
Ben Foster,0,3,32,1,0.0,366,99,0,0,3.6,35.8,2019-10-26T14:00:00Z,90,0,0,0,0,10,5,110079,0,0,0.0,10,-256,2065,2321,48,True,0,Bournemouth,Watford,GK,0,2019-20
Ben Gibson,0,0,0,0,0.0,89,93,0,0,0.0,0.0,2019-10-26T16:30:00Z,0,0,0,0,0,10,0,187868,4,2,0.0,0,-2737,2010,4747,40,True,0,Chelsea,Burnley,DEF,0,2019-20
Ben Godfrey,0,0,15,0,0.4,273,97,3,0,1.3,12.4,2019-10-27T16:30:00Z,90,0,0,0,0,10,0,15398,3,1,0.0,0,-983,38,1021,45,True,1,Man Utd,Norwich,DEF,0,2019-20
Ben Johnson,0,0,0,0,0.0,384,100,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,104013,1,1,0.0,0,-1098,1698,2796,40,True,0,Sheffield Utd,West Ham,DEF,0,2019-20
Ben Mee,0,0,19,0,10.5,83,93,4,0,3.5,22.8,2019-10-26T16:30:00Z,90,0,0,0,0,10,0,65880,4,2,2.0,0,-1380,970,2350,50,True,0,Chelsea,Burnley,DEF,0,2019-20
Ben Osborn,0,0,0,0,0.0,472,100,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,2285,1,1,0.0,0,-29,44,73,48,False,0,West Ham,Sheffield Utd,MID,0,2019-20
Beram Kayal,0,0,0,0,0.0,56,92,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,3609,2,3,0.0,0,-98,61,159,44,True,0,Everton,Brighton,MID,0,2019-20
Bernardo Silva,0,0,13,1,47.8,218,95,0,0,10.6,15.4,2019-10-26T11:30:00Z,90,0,0,0,0,10,0,1017840,0,3,43.0,3,2949,42641,39692,79,True,0,Aston Villa,Man City,MID,0,2019-20
Bernardo,0,0,0,0,0.0,39,92,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,7014,2,3,0.0,0,-230,7,237,43,True,0,Everton,Brighton,DEF,0,2019-20
Bernard,0,0,1,0,0.7,152,92,1,0,0.2,0.0,2019-10-26T14:00:00Z,29,0,0,0,0,10,0,69391,2,3,2.0,1,5132,6596,1464,65,False,0,Brighton,Everton,MID,0,2019-20
Bernard Ashley-Seal,0,0,0,0,0.0,559,96,0,0,0.0,0.0,2019-10-27T14:00:00Z,0,0,0,0,0,10,0,0,1,1,0.0,0,0,0,0,45,False,0,Newcastle,Wolves,FWD,0,2019-20
Bernd Leno,0,0,13,0,0.0,14,91,2,0,1.8,18.4,2019-10-27T16:30:00Z,90,0,0,0,0,10,2,450831,2,2,0.0,1,-3205,10474,13679,50,True,0,Crystal Palace,Arsenal,GK,0,2019-20
Billy Gilmour,0,0,0,0,0.0,533,93,0,0,0.0,0.0,2019-10-26T16:30:00Z,0,0,0,0,0,10,0,1562,4,2,0.0,0,-49,55,104,45,False,0,Burnley,Chelsea,MID,0,2019-20
Billy Sharp,0,0,0,0,0.9,298,100,0,0,0.0,0.0,2019-10-26T14:00:00Z,36,0,0,0,0,10,0,24830,1,1,0.0,1,-349,332,681,57,False,0,West Ham,Sheffield Utd,FWD,0,2019-20
Birkir Bjarnason,0,0,0,0,0.0,33,95,0,0,0.0,0.0,2019-10-26T11:30:00Z,0,0,0,0,0,10,0,3112,0,3,0.0,0,-89,11,100,45,False,0,Man City,Aston Villa,MID,0,2019-20
Björn Engels,0,0,13,0,0.1,455,95,3,0,1.5,14.6,2019-10-26T11:30:00Z,90,0,0,0,0,10,0,67047,0,3,0.0,1,-3111,1207,4318,45,False,0,Man City,Aston Villa,DEF,0,2019-20
Brandon Austin,0,0,0,0,0.0,558,94,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,1050,1,2,0.0,0,649,731,82,40,False,0,Liverpool,Spurs,GK,0,2019-20
Brandon Williams,0,0,0,0,0.0,549,97,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,19517,3,1,0.0,0,7952,9602,1650,40,False,0,Norwich,Man Utd,DEF,0,2019-20
Bukayo Saka,0,0,2,0,0.7,541,91,0,0,0.5,1.8,2019-10-27T16:30:00Z,29,0,0,0,0,10,0,81567,2,2,2.0,1,5092,11456,6364,45,True,0,Crystal Palace,Arsenal,MID,0,2019-20
Callum Hudson-Odoi,0,0,0,0,15.8,116,93,2,0,3.3,6.2,2019-10-26T16:30:00Z,18,0,0,0,0,10,0,243358,4,2,11.0,0,119911,123881,3970,60,False,1,Burnley,Chelsea,MID,0,2019-20
Callum Robinson,0,0,3,0,11.1,453,100,1,0,1.9,3.4,2019-10-26T14:00:00Z,53,0,0,0,0,10,0,35982,1,1,4.0,1,-3292,558,3850,53,False,0,West Ham,Sheffield Utd,MID,0,2019-20
Callum Slattery,0,0,0,0,0.0,327,98,0,0,0.0,0.0,2019-10-25T19:00:00Z,0,0,0,0,0,10,0,27306,9,0,0.0,0,-168,1159,1327,44,True,0,Leicester,Southampton,MID,0,2019-20
Callum Wilson,0,0,0,1,4.4,67,99,0,0,0.7,0.8,2019-10-26T14:00:00Z,73,0,0,0,0,10,0,990571,0,0,2.0,1,-419,48387,48806,80,False,1,Watford,Bournemouth,FWD,0,2019-20
Calum Chambers,0,0,2,0,6.6,467,91,2,0,1.9,6.6,2019-10-27T16:30:00Z,90,0,0,0,0,10,0,114859,2,2,6.0,0,12796,17015,4219,44,True,1,Crystal Palace,Arsenal,DEF,0,2019-20
Caoimhin Kelleher,0,0,0,0,0.0,531,94,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,1755,1,2,0.0,0,-44,18,62,45,True,0,Spurs,Liverpool,GK,0,2019-20
Carlos Sánchez,0,0,0,0,0.0,397,100,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,24516,1,1,0.0,0,-358,642,1000,44,True,0,Sheffield Utd,West Ham,MID,0,2019-20
Carl Jenkinson,0,0,0,0,0.0,9,91,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,1679,2,2,0.0,0,-24,22,46,45,True,0,Crystal Palace,Arsenal,DEF,0,2019-20
Cenk Tosun,0,0,0,0,0.0,146,92,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,7339,2,3,0.0,0,-341,23,364,57,False,0,Brighton,Everton,FWD,0,2019-20
Charlie Austin,0,0,0,0,0.0,312,98,0,0,0.0,0.0,2019-10-25T19:00:00Z,0,0,0,0,0,10,0,3679,9,0,0.0,0,-24,33,57,60,True,0,Leicester,Southampton,FWD,0,2019-20
Charlie Daniels,0,0,0,0,0.0,60,99,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,7287,0,0,0.0,0,-284,18,302,43,False,0,Watford,Bournemouth,DEF,0,2019-20
Charlie Taylor,0,0,0,0,0.0,87,93,0,0,0.0,0.0,2019-10-26T16:30:00Z,0,0,0,0,0,10,0,40984,4,2,0.0,0,-536,1191,1727,42,True,0,Chelsea,Burnley,DEF,0,2019-20
Cheikhou Kouyaté,0,0,6,0,13.2,139,91,2,0,2.0,2.8,2019-10-27T16:30:00Z,90,0,0,0,0,10,0,11316,2,2,4.0,2,337,786,449,49,False,0,Arsenal,Crystal Palace,MID,0,2019-20
Che Adams,0,0,0,0,0.0,437,98,0,0,0.0,0.0,2019-10-25T19:00:00Z,0,0,0,0,0,10,0,31078,9,0,0.0,0,-1982,510,2492,55,True,0,Leicester,Southampton,FWD,0,2019-20
Christian Atsu,0,0,4,0,0.2,267,96,0,0,0.1,1.0,2019-10-27T14:00:00Z,1,0,0,0,0,10,0,12890,1,1,0.0,1,-973,360,1333,54,True,0,Wolves,Newcastle,MID,0,2019-20
Christian Benteke,0,0,4,0,10.3,129,91,0,0,2.3,10.2,2019-10-27T16:30:00Z,9,0,0,0,0,10,0,42785,2,2,2.0,1,-576,502,1078,57,False,0,Arsenal,Crystal Palace,FWD,0,2019-20
Christian Eriksen,0,0,4,0,6.4,343,94,2,0,1.0,0.0,2019-10-27T16:30:00Z,87,0,0,0,0,10,0,227224,1,2,4.0,2,-17595,667,18262,87,False,0,Liverpool,Spurs,MID,0,2019-20
Christian Fuchs,0,0,0,0,0.0,163,98,0,0,0.0,0.0,2019-10-25T19:00:00Z,0,0,0,0,0,10,0,27790,9,0,0.0,0,-761,210,971,44,False,0,Southampton,Leicester,DEF,0,2019-20
Christian Kabasele,0,0,23,1,0.6,354,99,0,0,2.5,24.2,2019-10-26T14:00:00Z,90,0,0,0,0,10,0,13004,0,0,0.0,6,817,1218,401,43,True,0,Bournemouth,Watford,DEF,0,2019-20
Christian Pulisic,0,3,70,0,40.8,431,93,2,3,26.8,117.2,2019-10-26T16:30:00Z,90,0,0,0,0,10,0,206385,4,2,110.0,20,-6574,2007,8581,71,False,0,Burnley,Chelsea,MID,0,2019-20
Christoph Zimmermann,0,0,0,0,0.0,275,97,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,972,3,1,0.0,0,-33,6,39,45,True,0,Man Utd,Norwich,DEF,0,2019-20
Chris Basham,0,0,15,0,0.6,423,100,1,0,2.4,23.0,2019-10-26T14:00:00Z,90,0,0,0,0,10,0,15996,1,1,0.0,2,1462,1840,378,45,False,0,West Ham,Sheffield Utd,DEF,0,2019-20
Chris Mepham,0,0,0,0,0.0,61,99,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,0,0,0,0,10,0,67675,0,0,0.0,0,-1919,106,2025,44,False,0,Watford,Bournemouth,DEF,0,2019-20
Chris Smalling,0,0,0,0,0.0,223,97,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,9588,3,1,0.0,0,-105,22,127,53,False,0,Norwich,Man Utd,DEF,0,2019-20
Chris Wood,0,0,0,0,0.0,91,93,0,0,0.0,0.0,2019-10-26T16:30:00Z,0,0,0,0,0,10,0,93257,4,2,0.0,0,8459,19231,10772,62,True,0,Chelsea,Burnley,FWD,0,2019-20
Ciaran Clark,0,0,13,0,1.1,259,96,1,0,2.1,19.8,2019-10-27T14:00:00Z,90,0,0,0,0,10,0,10842,1,1,0.0,1,652,919,267,43,True,1,Wolves,Newcastle,DEF,0,2019-20
Claudio Bravo,0,0,0,0,0.0,213,95,0,0,0.0,0.0,2019-10-26T11:30:00Z,0,0,0,0,0,10,0,18687,0,3,0.0,0,-242,100,342,48,True,0,Aston Villa,Man City,GK,0,2019-20
Connor Wickham,0,0,0,0,0.0,130,91,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,0,0,0,0,10,0,216503,2,2,0.0,0,-10487,205,10692,45,False,0,Arsenal,Crystal Palace,FWD,0,2019-20
Conor Coady,0,0,13,0,0.3,403,96,1,0,1.3,12.8,2019-10-27T14:00:00Z,90,0,0,0,0,10,0,100573,1,1,0.0,2,-767,1767,2534,50,False,0,Newcastle,Wolves,DEF,0,2019-20
Conor Hourihane,0,0,0,0,0.0,28,95,0,0,0.0,0.0,2019-10-26T11:30:00Z,0,0,0,0,0,10,0,9531,0,3,0.0,0,-282,369,651,57,False,0,Man City,Aston Villa,MID,0,2019-20
Craig Cathcart,0,1,29,1,0.7,358,99,0,0,2.4,22.8,2019-10-26T14:00:00Z,90,0,0,0,0,10,0,102907,0,0,0.0,7,-2165,696,2861,44,True,0,Bournemouth,Watford,DEF,0,2019-20
Craig Dawson,0,0,21,1,0.0,439,99,0,0,4.3,25.4,2019-10-26T14:00:00Z,90,0,0,0,0,10,0,13163,0,0,18.0,5,-78,311,389,48,True,1,Bournemouth,Watford,DEF,0,2019-20
