transfers_balance,opponent_team,bonus,own_goals,clean_sheets,goals_conceded,total_points,kickoff_time,red_cards,team_a_score,influence,saves,assists,transfers_in,xP,creativity,value,selected,element,goals_scored,bps,was_home,minutes,penalties_missed,yellow_cards,team,fixture,transfers_out,round,name,position,threat,ict_index,penalties_saved,team_h_score
0,Newcastle,0,0,0,0,0,2020-09-12T19:00:00Z,0,2,0.0,0,0,0,1.8,0.0,45,16045,430,0,0,True,0,0,0,West Ham,6,0,1,Darren Randolph,GK,0.0,0.0,0,0
0,Leicester,0,0,0,0,0,2020-09-13T13:00:00Z,0,3,0.0,0,0,0,0.0,0.0,40,299163,56,0,0,True,0,0,0,West Brom,5,0,1,David Button,GK,0.0,0.0,0,0
0,Fulham,0,0,0,0,0,2020-09-12T11:30:00Z,0,3,0.0,0,0,0,0.0,0.0,55,69564,3,0,0,False,0,0,0,Arsenal,2,0,1,David Luiz,DEF,0.0,0.0,0,0
0,Newcastle,0,0,0,0,0,2020-09-12T19:00:00Z,0,2,0.0,0,0,0,1.0,0.0,40,498030,429,0,0,True,0,0,0,West Ham,6,0,1,David Martin,GK,0.0,0.0,0,0
0,Wolves,0,0,0,0,1,2020-09-14T17:00:00Z,0,2,0.8,0,0,0,1.5,2.7,55,64923,344,0,2,True,19,0,0,Sheffield Utd,8,0,1,David McGoldrick,FWD,8.0,1.2,0,0
0,Everton,0,0,0,0,0,2020-09-13T15:30:00Z,0,1,0.0,0,0,0,3.0,0.0,55,62607,398,0,0,True,0,0,0,Spurs,4,0,1,Davinson Sánchez,DEF,0.0,0.0,0,0
0,Chelsea,0,0,0,0,0,2020-09-14T19:15:00Z,0,3,0.0,0,0,0,0.2,0.0,50,6355,59,0,0,True,0,0,0,Brighton,7,0,1,Davy Pröpper,MID,0.0,0.0,0,1
0,West Ham,0,0,0,0,0,2020-09-12T19:00:00Z,0,2,0.0,0,0,0,1.6,0.0,45,27859,335,0,0,False,0,0,0,Newcastle,6,0,1,DeAndre Yedlin,DEF,0.0,0.0,0,0
0,Newcastle,0,0,0,2,2,2020-09-12T19:00:00Z,0,2,21.6,0,0,0,1.4,14.5,50,305763,448,0,15,True,90,0,0,West Ham,6,0,1,Declan Rice,MID,8.0,4.4,0,0
0,West Brom,0,0,0,0,0,2020-09-13T13:00:00Z,0,3,0.0,0,0,0,2.8,0.0,55,12401,230,0,0,False,0,0,0,Leicester,5,0,1,Demarai Gray,MID,0.0,0.0,0,0
0,Arsenal,0,0,0,3,1,2020-09-12T11:30:00Z,0,3,11.4,0,0,0,0.6,2.6,45,0,525,0,12,True,90,0,0,Fulham,2,0,1,Denis Odoi,DEF,7.0,2.1,0,0
0,West Brom,0,0,1,0,6,2020-09-13T13:00:00Z,0,3,27.8,0,1,0,2.8,16.8,55,4535,225,0,25,False,74,0,0,Leicester,5,0,1,Dennis Praet,MID,33.0,7.8,0,0
0,Sheffield Utd,0,0,0,0,0,2020-09-14T17:00:00Z,0,2,0.0,0,0,0,2.2,0.0,65,215812,468,0,0,False,0,0,0,Wolves,8,0,1,Diogo Jota,MID,0.0,0.0,0,0
0,Leeds,0,0,0,0,0,2020-09-12T16:30:00Z,0,3,0.0,0,0,0,3.0,0.0,55,71975,256,0,0,True,0,0,0,Liverpool,3,0,1,Divock Origi,FWD,0.0,0.0,0,4
0,Spurs,2,0,1,0,8,2020-09-13T15:30:00Z,0,1,38.4,0,0,0,1.8,13.7,70,387691,164,1,34,False,88,0,0,Everton,4,0,1,Dominic Calvert-Lewin,FWD,34.0,8.6,0,0
0,West Ham,0,0,0,0,0,2020-09-12T19:00:00Z,0,2,0.0,0,0,0,0.0,0.0,60,3224,329,0,0,False,0,0,0,Newcastle,6,0,1,Dwight Gayle,FWD,0.0,0.0,0,0
0,Southampton,0,0,0,0,1,2020-09-12T14:00:00Z,0,0,4.4,0,0,0,1.6,8.8,60,33257,489,0,3,True,9,0,0,Crystal Palace,1,0,1,Eberechi Eze,MID,4.0,1.7,0,1
0,Fulham,0,0,0,0,1,2020-09-12T11:30:00Z,0,3,0.0,0,0,0,2.8,0.0,60,112190,22,0,3,False,3,0,0,Arsenal,2,0,1,Eddie Nketiah,FWD,0.0,0.0,0,0
0,Brighton,0,0,0,0,0,2020-09-14T19:15:00Z,0,3,0.0,0,0,0,3.1,0.0,50,11017,111,0,0,False,0,0,0,Chelsea,7,0,1,Emerson,DEF,0.0,0.0,0,1
0,Fulham,0,0,0,0,0,2020-09-12T11:30:00Z,0,3,0.0,0,0,0,0.0,0.0,45,17820,23,0,0,False,0,0,0,Arsenal,2,0,1,Emile Smith Rowe,MID,0.0,0.0,0,0
0,Fulham,0,0,0,0,0,2020-09-12T11:30:00Z,0,3,0.0,0,0,0,2.8,0.0,45,292339,12,0,0,False,0,0,0,Arsenal,2,0,1,Emiliano Martínez,GK,0.0,0.0,0,0
0,West Ham,0,0,0,0,0,2020-09-12T19:00:00Z,0,2,0.0,0,0,0,1.6,0.0,45,5746,333,0,0,False,0,0,0,Newcastle,6,0,1,Emil Krafth,DEF,0.0,0.0,0,0
0,Wolves,0,0,0,2,1,2020-09-14T17:00:00Z,0,2,13.2,0,0,0,2.5,6.9,55,340758,347,0,13,True,90,0,0,Sheffield Utd,8,0,1,Enda Stevens,DEF,6.0,2.6,0,0
0,Everton,0,0,0,1,2,2020-09-13T15:30:00Z,0,1,17.4,0,0,0,2.6,0.7,50,95090,391,0,13,True,90,0,0,Spurs,4,0,1,Eric Dier,DEF,0.0,1.8,0,0
0,Everton,0,0,0,0,0,2020-09-13T15:30:00Z,0,1,0.0,0,0,0,2.6,0.0,60,10931,387,0,0,True,0,0,0,Spurs,4,0,1,Erik Lamela,MID,0.0,0.0,0,0
0,Wolves,0,0,0,0,0,2020-09-14T17:00:00Z,0,2,0.0,0,0,0,1.6,0.0,45,51564,509,0,0,True,0,0,0,Sheffield Utd,8,0,1,Ethan Ampadu,DEF,0.0,0.0,0,0
0,Liverpool,0,0,0,0,0,2020-09-12T16:30:00Z,0,3,0.0,0,0,0,0.1,0.0,45,44238,201,0,0,False,0,0,0,Leeds,3,0,1,Ezgjan Alioski,DEF,0.0,0.0,0,4
0,Spurs,0,0,0,0,0,2020-09-13T15:30:00Z,0,1,0.0,0,0,0,0.4,0.0,50,3638,149,0,0,False,0,0,0,Everton,4,0,1,Fabian Delph,MID,0.0,0.0,0,0
0,West Ham,0,0,0,0,0,2020-09-12T19:00:00Z,0,2,0.0,0,0,0,0.0,0.0,50,1810,334,0,0,False,0,0,0,Newcastle,6,0,1,Fabian Schär,DEF,0.0,0.0,0,0
0,Leeds,0,0,0,1,4,2020-09-12T16:30:00Z,0,3,4.2,0,1,0,3.3,1.0,55,76886,253,0,13,True,32,0,0,Liverpool,3,0,1,Fabinho,MID,2.0,0.7,0,4
0,Sheffield Utd,0,0,0,0,0,2020-09-14T17:00:00Z,0,2,0.0,0,0,0,1.5,0.0,55,75604,504,0,0,False,0,0,0,Wolves,8,0,1,Fabio Silva,FWD,0.0,0.0,0,0
