ep_this,second_name,id,element_type,team,web_name,first_name
-0.1,Kanté,134,3,6,Kanté,N'Golo
0.7,Ziyech,135,3,6,Ziyech,Hakim
1.5,Loftus-Cheek,136,3,6,Loftus-Cheek,Ruben
0.0,Werner,137,4,6,Werner,Timo
0.0,Nunes do Nascimento,138,2,6,Kenedy,Robert Kenedy
-0.1,Chilwell,139,2,6,Chilwell,Ben
0.3,Pulisic,140,3,6,Pulisic,Christian
0.7,Chalobah,141,2,6,Chalobah,Trevoh
-0.2,Mount,142,3,6,Mount,Mason
0.0,Sarr,143,2,6,Sarr,Malang
0.0,Hudson-Odoi,144,3,6,Hudson-Odoi,Callum
0.7,Havertz,145,4,6,Havertz,Kai
0.0,James,146,2,6,James,Reece
-0.3,Mendy,147,1,6,Mendy,Edouard
1.3,Gallagher,148,3,6,Gallagher,Conor
0.0,Broja,150,4,6,Broja,Armando
0.0,Ampadu,151,2,6,Ampadu,Ethan
0.3,Fofana,272,2,6,W.Fofana,Wesley
2.5,Sterling,304,3,6,Sterling,Raheem
-0.3,Koulibaly,520,2,6,Koulibaly,Kalidou
0.0,Vale,606,3,6,Vale,Harvey
-0.5,Zakaria,616,3,6,Zakaria,Denis
-0.5,Aubameyang,617,4,6,Aubameyang,Pierre-Emerick
-0.1,Bettinelli,635,1,6,Bettinelli,Marcus
-0.5,Hutchinson,653,3,6,Hutchinson,Omari
2.3,Hall,661,3,6,Hall,Lewis
0.0,Humphreys,673,2,6,Humphreys,Bashir
-0.3,Fofana,684,4,6,D.D.Fofana,David Datro
-0.1,Badiashile,689,2,6,Badiashile,Benoît
1.3,Félix Sequeira,690,4,6,João Félix,João
0.3,Mudryk,699,3,6,Mudryk,Mykhailo
0.0,Nascimento dos Santos,702,3,6,Andrey Santos,Andrey
1.5,Madueke,708,3,6,Madueke,Noni
1.0,Fernández,724,3,6,Enzo,Enzo
-0.5,Wady,771,1,6,Wady,Ethan
-0.5,Gilchrist,775,2,6,Gilchrist,Alfie
0.0,Sambi Lokonga,18,3,7,Sambi,Albert
0.0,Guaita,152,1,7,Guaita,Vicente
0.0,Tomkins,153,2,7,Tomkins,James
0.7,McArthur,154,3,7,McArthur,James
0.0,Benteke,155,4,7,Benteke,Christian
5.3,Ward,156,2,7,Ward,Joel
0.0,Clyne,157,2,7,Clyne,Nathaniel
0.0,Milivojevic,158,3,7,Milivojevic,Luka
3.3,Ayew,159,3,7,J.Ayew,Jordan
0.0,Zaha,160,3,7,Zaha,Wilfried
0.0,Schlupp,161,3,7,Schlupp,Jeffrey
5.0,Hughes,163,3,7,Hughes,Will
0.7,Riedewald,164,3,7,Riedewald,Jairo
3.0,Andersen,165,2,7,Andersen,Joachim
3.7,Edouard,166,4,7,Edouard,Odsonne
3.0,Guéhi,167,2,7,Guéhi,Marc
0.7,Mateta,168,4,7,Mateta,Jean-Philippe
7.7,Eze,169,3,7,Eze,Eberechi
3.7,Mitchell,170,2,7,Mitchell,Tyrick
4.7,Olise,171,3,7,Olise,Michael
0.0,Rak-Sakyi,172,3,7,Rak-Sakyi,Jesurun
0.0,Ebiowei,173,3,7,Ebiowei,Malcolm
0.0,Ferguson,174,2,7,Ferguson,Nathan
3.3,Johnstone,175,1,7,Johnstone,Sam
0.0,Matthews,495,1,7,Matthews,Remi
0.0,Plange,496,4,7,Plange,Luke
2.3,Doucouré,514,3,7,C.Doucouré,Cheick
0.0,Richards,530,2,7,Richards,Chris
0.0,Whitworth,590,1,7,Whitworth,Joseph
0.0,Rodney,601,3,7,Rodney,Kaden
0.0,Phillips,604,3,7,Phillips,Killian
0.0,Gordon,634,4,7,Gordon,John-Kymani
0.0,Balmer,642,2,7,Balmer,Kofi
0.0,Goodman,644,1,7,Goodman,Owen
0.0,Wells-Morrison,654,3,7,Wells-Morrison,Jack
0.0,Ozoh,676,3,7,Ozoh,David
0.3,Ahamada,725,3,7,Ahamada,Naouirou
0.0,Adaramola,766,2,7,Adaramola,Tayo
1.2,Maupay,110,4,8,Maupay,Neal
0.5,Begović,176,1,8,Begović,Asmir
0.0,Rondón,177,4,8,Rondón,Salomón
0.0,Coleman,178,2,8,Coleman,Seamus
0.0,Townsend,179,3,8,Townsend,Andros
2.8,Keane,180,2,8,Keane,Michael
0.0,Alli,181,3,8,Dele,Dele
3.5,Pickford,182,1,8,Pickford,Jordan
0.0,Marques Loureiro,183,3,8,Allan,Allan
